symbol,name,industry,E,S,G,ESG
MSFT,Microsoft Corporation,Software & Services,1.46,7.53,6.07,15.06
AAPL,Apple Inc,Technology Hardware,0.46,7.39,9.37,17.22
NVDA,NVIDIA Corporation,Semiconductors,2.3,4.95,6.34,13.59
GOOGL,Alphabet Inc.,Software & Services,1.56,11.16,11.51,24.22
GOOG,Alphabet Inc., , , , , 
AMZN,Amazon.com Inc.,Retailing,6,15.39,9.22,30.61
META,Meta Platforms Inc.,Software & Services,2.71,21.09,10.29,34.08
BRK.B,Berkshire Hathaway Inc., , , , , 
LLY,Eli Lilly and Company,Pharmaceuticals,2.54,12.6,9.14,24.28
AVGO,Broadcom Inc.,Semiconductors,7.34,6,6.64,19.98
JPM,JPMorgan Chase & Co.,Banks,1.11,16.45,11.7,29.26
V,Visa Inc.,Software & Services,1.81,8.22,6.65,16.68
XOM,Exxon Mobil Corporation,Oil & Gas Producers,23.11,10.01,8.48,41.6
WMT,Walmart Inc.,Food Retailers,5.86,12.36,7.05,25.26
TSLA,Tesla Inc.,Automobiles,3.31,14.08,7.85,25.23
UNH,UnitedHealth Group Incorporated,Healthcare,0.03,9.67,5.59,15.3
MA,Mastercard Incorporated,Software & Services,2.15,6.66,8.27,17.07
PG,The Procter & Gamble Company,Household Products,9.6,12.23,6.74,28.57
JNJ,Johnson & Johnson,Pharmaceuticals,0.92,15.02,8.03,23.98
HD,The Home Depot Inc.,Retailing,3.32,5.56,3.76,12.64
MRK,Merck & Co. Inc.,Pharmaceuticals,1.85,10.64,8.9,21.39
COST,Costco Wholesale Corporation,Food Retailers,6.52,11.22,5.55,23.29
ORCL,Oracle Corporation,Software & Services,0.5,7.79,5.6,13.89
CVX,Chevron Corporation,Oil & Gas Producers,17.01,9.18,10.42,36.6
BAC,Bank of America Corporation,Banks,1.73,15.09,11.48,28.3
ABBV,AbbVie Inc.,Pharmaceuticals,2.38,17.19,10.36,29.93
CRM,Salesforce Inc.,Software & Services,2.01,7.48,5.39,14.88
KO,The Coca-Cola Company,Food Products,7.23,9.54,4.86,21.63
NFLX,Netflix Inc.,Retailing,0.09,7.31,9.01,16.41
AMD,Advanced Micro Devices Inc., , , , , 
PEP,PepsiCo Inc.,Food Products,7.27,9.63,5.16,22.06
TMO,Thermo Fisher Scientific Inc.,Pharmaceuticals,1.44,4.89,6.47,12.81
WFC,Wells Fargo & Company,Banks,2.05,14.75,19.43,36.24
LIN,Linde plc, , , , , 
ADBE,Adobe Inc.,Software & Services,1.94,5.99,5.15,13.08
DIS,The Walt Disney Company,Media,0.04,8.96,6.71,15.7
MCD,McDonald's Corporation,Consumer Services,7.56,12.56,5.84,25.95
ACN,Accenture plc,Software & Services,0.82,4.61,4.41,9.84
CSCO,Cisco Systems Inc.,Technology Hardware,0.45,6.9,6.51,13.87
TMUS,T-Mobile US Inc.,Telecommunication Services,4.19,13.38,7.07,24.63
DHR,Danaher Corporation,Industrial Conglomerates,1.35,5.16,5.35,11.86
ABT,Abbott Laboratories,Healthcare,2.27,14.24,8.33,24.83
CAT,Caterpillar Inc.,Machinery,10.43,17.69,8.06,36.17
QCOM,QUALCOMM Incorporated,Technology Hardware,5.34,4.5,5.55,15.39
GE,GE Aerospace,Industrial Conglomerates,14.24,15.41,10.9,40.55
INTU,Intuit Inc.,Software & Services,0.97,10.7,4.73,16.41
AXP,American Express Company,Diversified Financials,0.05,8.85,9.7,18.61
IBM,International Business Machines Corporation,Software & Services,1.78,6.22,6.14,14.14
VZ,Verizon Communications Inc.,Telecommunication Services,3.74,9.59,5.39,18.73
AMAT,Applied Materials Inc.,Semiconductors,4.49,2.97,5.28,12.74
CMCSA,Comcast Corporation,Media,3.96,10.9,8.23,23.09
MS,Morgan Stanley,Diversified Financials,1.14,12.91,10.53,24.58
COP,Conoco Phillips,Oil & Gas Producers,17.57,8.07,8.28,33.91
NOW,ServiceNow Inc.,Software & Services,3.99,6.04,6.57,16.59
PM,Philip Morris International Inc.,Food Products,3.42,13.54,11.49,28.45
TXN,Texas Instruments Incorporated,Semiconductors,7.76,5.96,6.93,20.65
BX,Blackstone Inc.,Diversified Financials,2.52,9.57,11.29,23.39
PFE,Pfizer Inc.,Pharmaceuticals,2.12,12.85,9.63,24.59
UBER,Uber Technologies Inc., , , , , 
AMGN,Amgen Inc.,Pharmaceuticals,0.73,13.48,7.75,21.96
INTC,Intel Corporation,Semiconductors,4.93,7.32,6.62,18.87
UNP,Union Pacific Corporation,Transportation,7.3,10.55,5.6,23.45
NKE,NIKE Inc.,Textiles & Apparel,2.98,9.99,6.65,19.61
GS,The Goldman Sachs Group Inc.,Diversified Financials,0.88,12.76,11.82,25.45
NEE,NextEra Energy Inc.,Utilities,9.38,8.3,5.6,23.27
RTX,RTX Corp,Aerospace & Defense,7.99,13.09,8.1,29.17
ISRG,Intuitive Surgical Inc.,Healthcare,3.65,9.58,7.84,21.07
LOW,Lowe's Companies Inc.,Retailing,3.31,5.31,3.17,11.78
SCHW,The Charles Schwab Corporation,Diversified Financials,2.39,8.95,11.94,23.28
SPGI,S&P Global Inc.,Diversified Financials,0,6.22,6.82,13.04
HON,Honeywell International Inc.,Aerospace & Defense,10.99,10.59,7.04,28.62
SYK,Stryker Corporation,Healthcare,3.99,13.24,11.03,28.26
UPS,United Parcel Service Inc.,Transportation,4.17,8.91,5.49,18.57
PGR,The Progressive Corporation,Insurance,1.45,8.5,10.07,20.02
ETN,Eaton Corporation plc,Electrical Equipment,5.46,6.76,5.72,17.94
MU,Micron Technology Inc.,Semiconductors,7.23,5.46,5.49,18.18
ELV,Elevance Health Inc.,Canada Fund Emerging Markets Equity,49.44,51.49,48.7,49.33
BKNG,Booking Holdings Inc.,Retailing,0.98,10.13,8.13,19.23
C,Citigroup Inc.,Banks,1.8,13.75,13.69,29.24
T,AT&T Inc.,Telecommunication Services,3.26,13.94,6.72,23.91
LRCX,Lam Research Corporation,Semiconductors,4.5,3.97,5.14,13.61
BLK,BlackRock Inc.,Diversified Financials,0.9,7.36,9.99,18.25
LMT,Lockheed Martin Corporation,Aerospace & Defense,7.96,15.11,7.11,30.18
DE,Deere & Company,Machinery,2.67,10.79,6.49,19.95
MDT,Medtronic plc,Healthcare,1.78,13.43,7.57,22.77
TJX,The TJX Companies Inc.,Retailing,1.89,7.65,4.84,14.38
VRTX,Vertex Pharmaceuticals Incorporated,Pharmaceuticals,0.75,15.4,6.57,22.72
ABNB,Airbnb Inc., , , , , 
BA,The Boeing Company,Aerospace & Defense,8.84,22.48,8.29,39.6
BSX,Boston Scientific Corporation,Healthcare,2.36,11.85,8.89,23.11
ADP,Automatic Data Processing Inc.,Software & Services,2.8,5.54,5.49,13.82
CB,Chubb Limited,Insurance,1.46,11.54,10.61,23.6
CI,Cigna Corporation,Healthcare,0.02,5.99,5.65,11.65
SBUX,Starbucks Corporation,Consumer Services,5.79,14.62,4.27,24.67
MMC,Marsh & McLennan Companies Inc.,Insurance,0.09,11.31,9.67,21.07
BMY,Bristol-Myers Squibb Company,Pharmaceuticals,1.31,14.37,7.07,22.74
REGN,Regeneron Pharmaceuticals Inc.,Pharmaceuticals,0.34,10.96,6.74,18.04
PLD,Prologis Inc.,Real Estate,2.74,2.5,5.03,10.27
MDLZ,Mondelez International Inc.,Food Products,7.23,9.39,5.41,22.02
PANW,Palo Alto Networks Inc.,Technology Hardware,0.7,7.62,5.6,13.92
ADI,Analog Devices Inc.,Semiconductors,9.27,6.68,6.98,22.92
FI,Fiserv Inc.,Software & Services,4.12,8.74,6.77,19.64
KLAC,KLA Corporation,Semiconductors,7.41,5.13,4.64,17.19
CVS,CVS Health Corporation,Food Retailers,0.03,15.76,6.17,21.97
HCA,HCA Healthcare Inc.,Healthcare,3.9,17.72,7.22,28.84
WM,Waste Management Inc.,Commercial Services,8.09,5.24,3.32,16.65
GILD,Gilead Sciences Inc.,Pharmaceuticals,1,14.34,7.62,22.97
AMT,American Tower Corporation,Real Estate,2.9,2.85,5.16,10.9
CMG,Chipotle Mexican Grill Inc.,Consumer Services,6.79,9.59,4.27,20.66
SNPS,Synopsys Inc.,Software & Services,3.34,6.93,4.16,14.42
GD,General Dynamics Corporation,Aerospace & Defense,9.37,18.9,6.93,35.19
SO,The Southern Company,Utilities,14.68,11,7.3,32.98
ANET,Arista Networks Inc.,Technology Hardware,0.4,8.88,7.39,16.67
EOG,EOG Resources Inc.,Oil & Gas Producers,20.16,6.67,7.33,34.16
CME,CME Group Inc.,Diversified Financials,2.13,6.48,9.19,17.8
TGT,Target Corporation,Retailing,1.93,7.55,4.86,14.35
SHW,The Sherwin-Williams Company,Chemicals,14.31,9.2,5.85,29.35
CDNS,Cadence Design Systems Inc.,Software & Services,2.33,4.88,4.81,12.02
DUK,Duke Energy Corporation,Utilities,11.52,10.68,4.81,27.01
ITW,Illinois Tool Works Inc.,Machinery,7,11.78,6.52,25.29
ICE,Intercontinental Exchange Inc.,Diversified Financials,1.7,9.25,8.82,19.78
MO,Altria Group Inc.,Food Products,6.1,17.64,7.58,31.32
CL,Colgate-Palmolive Company,Household Products,8.32,11.31,6.54,26.17
EQIX,Equinix Inc.,Software & Services,3.44,5.31,5.13,13.88
MPC,Marathon Petroleum Corporation,Refiners & Pipelines,17.09,8.15,5.25,30.49
PH,Parker-Hannifin Corporation,Machinery,9.46,13.78,6.24,29.48
SLB,Schlumberger Limited,Energy Services,8.08,6.29,5.91,20.28
NOC,Northrop Grumman Corporation,Aerospace & Defense,7.79,14.37,5.37,27.53
MCK,McKesson Corporation,Healthcare,1.65,7.28,6.29,15.23
MCO,Moody's Corporation,Diversified Financials,1.61,6.09,8.12,15.82
MAR,Marriott International Inc.,Consumer Services,8.55,9.16,3.72,21.43
TDG,TransDigm Group Incorporated,Aerospace & Defense,12.01,17.71,9,38.72
FCX,Freeport-McMoRan Inc.,Diversified Metals,15.26,9.96,6.4,31.61
APH,Amphenol Corporation,Technology Hardware,7.32,4.64,7.6,19.57
ZTS,Zoetis Inc.,Pharmaceuticals,3.24,6.81,8.72,18.77
PSX,Phillips 66,Refiners & Pipelines,20.76,8.82,5.85,35.43
CSX,CSX Corporation,Transportation,7.04,10.03,4.84,21.91
PYPL,PayPal Holdings Inc.,Software & Services,2.83,9.19,5.75,17.77
BDX,Becton Dickinson and Company,Healthcare,3.04,13.65,7.13,23.82
CTAS,Cintas Corporation,Commercial Services,3.03,9.17,5.88,18.08
TT,Trane Technologies plc,Machinery,4.39,5.71,5.11,15.2
FDX,FedEx Corporation,Transportation,5.66,8.42,5.61,19.68
ORLY,O'Reilly Automotive Inc.,Retailing,0.14,8.15,3.76,12.05
PXD,Pioneer Natural Resources Company,Oil & Gas Producers,16.52,8.25,7.33,32.1
USB,U.S. Bancorp,Canada Fund Global Corporate Fixed Income,1.39,13.19,12.45,27.04
ECL,Ecolab Inc.,Chemicals,8.54,6.05,5.27,19.86
EMR,Emerson Electric Co.,Electrical Equipment,8.77,13.05,6.55,28.36
PNC,The PNC Financial Services Group Inc.,Banks,1.94,13.29,10.83,26.07
AON,Aon plc,Insurance,0.06,10.44,12.5,23
RSG,Republic Services Inc.,Commercial Services,11.19,6.02,3.7,20.91
OXY,Occidental Petroleum Corporation,Oil & Gas Producers,24.98,9.7,6.97,41.66
PCAR,PACCAR Inc,Machinery,8.36,10.99,8.3,27.64
CEG,Constellation Energy Corporation, , , , , 
NXPI,NXP Semiconductors N.V.,Semiconductors,8.58,5.45,5.81,19.84
ROP,Roper Technologies Inc.,Electrical Equipment,4.67,9.67,6.09,20.44
MSI,Motorola Solutions Inc.,Technology Hardware,2.26,5.07,5.8,13.13
COF,Capital One Financial Corporation,Diversified Financials,0.13,12.28,10.09,22.5
MNST,Monster Beverage Corporation,Food Products,12.07,12.04,5.11,29.23
VLO,Valero Energy Corporation,Refiners & Pipelines,20.15,7.42,4.99,32.56
NSC,Norfolk Southern Corporation,Transportation,8.02,10.48,5.42,23.92
EL,The Estée Lauder Companies Inc.,Household Products,6.95,11.05,7.48,25.48
WELL,Welltower Inc.,Real Estate,4.24,3.49,5.5,13.23
EW,Edwards Lifesciences Corporation,Healthcare,2.86,8.08,7.63,18.57
CPRT,Copart Inc.,Commercial Services,1.48,8.96,5.59,16.03
MET,MetLife Inc.,Insurance,0.69,6.96,8.77,16.43
GM,General Motors Company,Automobiles,9.83,11.48,7.19,28.5
APD,Air Products and Chemicals Inc.,Chemicals,7.42,1.5,3.35,12.26
TFC,Truist Financial Corporation,Banks,2.01,13.02,10.39,25.42
DXCM,DexCom Inc.,Healthcare,5.35,10.62,8.08,24.05
AJG,Arthur J. Gallagher & Co.,Insurance,0.09,10.92,10.15,21.16
MMM,3M Company,Industrial Conglomerates,17.22,13.59,6.54,37.35
AZO,AutoZone Inc.,Retailing,0.11,7.07,3.83,11.02
AIG,American International Group Inc.,Insurance,1.65,9.67,12.86,24.18
F,Ford Motor Company,Automobiles,7.43,6.41,8.51,22.35
HLT,Hilton Worldwide Holdings Inc.,Consumer Services,6.11,7,4.45,17.56
CARR,Carrier Global Corporation, , , , , 
FTNT,Fortinet Inc.,Software & Services,2.5,10.03,6.37,18.9
DHI,D.R. Horton Inc.,Homebuilders,8.71,6.66,5.66,21.03
TRV,The Travelers Companies Inc.,Insurance,1.01,9.3,10.02,20.33
AFL,Aflac Incorporated,Insurance,0.3,9.14,8.9,18.33
HES,Hess Corporation,Oil & Gas Producers,18.93,7.2,6.98,33.11
STZ,Constellation Brands Inc.,Food Products,9.45,10.04,5.18,24.66
ODFL,Old Dominion Freight Line Inc., , , , , 
COR,Cencora,Healthcare,1.57,5.53,5.65,12.75
WMB,The Williams Companies Inc.,Refiners & Pipelines,8.72,10.13,2.96,21.82
GWW,W.W. Grainger Inc.,Traders & Distributors,4.54,5.55,5.91,16
OKE,ONEOK Inc.,Refiners & Pipelines,10.83,11.01,3.31,25.15
