,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,13.59,5.07,0.45,8.08
65,2020-02-01,13.59,5.07,0.45,8.08
66,2020-03-01,13.59,5.07,0.45,8.08
70,2020-07-01,13.59,5.07,0.45,8.08
71,2020-08-01,13.59,5.07,0.45,8.08
73,2020-10-01,13.32,4.94,0.45,7.93
76,2021-01-01,10.98,4.84,0.48,5.65
77,2021-02-01,10.88,4.74,0.48,5.65
78,2021-03-01,10.88,4.74,0.48,5.65
80,2021-05-01,10.88,4.74,0.48,5.65
84,2021-09-01,10.78,4.64,0.48,5.65
89,2022-02-01,10.78,4.64,0.48,5.65
92,2022-05-01,12.46,4.64,1.89,5.93
95,2022-08-01,12.46,4.64,1.89,5.93
108,2023-09-01,13.08,5.15,1.94,5.99
