,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,25.91,7.76,10.51,7.65
65,2020-02-01,25.91,7.76,10.51,7.65
66,2020-03-01,25.91,7.76,10.51,7.65
70,2020-07-01,26.14,7.57,10.93,7.65
71,2020-08-01,26.14,7.57,10.93,7.65
73,2020-10-01,26.17,7.59,10.93,7.65
76,2021-01-01,26.17,7.59,10.93,7.65
77,2021-02-01,25.75,7.24,10.97,7.53
78,2021-03-01,25.75,7.24,10.97,7.53
80,2021-05-01,25.54,7.03,10.97,7.53
84,2021-09-01,23.82,7.03,9.25,7.53
89,2022-02-01,23.82,7.03,9.25,7.53
92,2022-05-01,23.78,5.9,10.13,7.74
95,2022-08-01,23.78,5.9,10.13,7.74
108,2023-09-01,22.92,6.98,9.27,6.68
