,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,35.39,5.88,15.92,13.59
65,2020-02-01,35.39,5.88,15.92,13.59
66,2020-03-01,35.39,5.88,15.92,13.59
70,2020-07-01,34.24,5.08,15.78,13.37
71,2020-08-01,34.13,4.77,15.91,13.45
73,2020-10-01,34.16,4.8,15.91,13.45
76,2021-01-01,34.16,4.8,15.91,13.45
77,2021-02-01,34.16,4.8,15.91,13.45
78,2021-03-01,34.23,4.8,15.91,13.51
80,2021-05-01,34.23,4.8,15.91,13.51
84,2021-09-01,34.48,5.06,15.91,13.51
89,2022-02-01,36.42,5.04,18.23,13.16
92,2022-05-01,36.4,5.01,18.23,13.16
95,2022-08-01,36.4,5.01,18.23,13.16
108,2023-09-01,31.79,5.01,16.64,10.15
