,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,61.0,78.0,47.0,67.0
1,2014-10-01,60.0,78.0,47.0,67.0
2,2014-11-01,61.0,78.0,47.0,67.0
3,2014-12-01,61.0,78.0,47.0,67.0
4,2015-01-01,61.0,78.0,47.0,67.0
5,2015-02-01,61.0,78.0,47.0,67.0
6,2015-03-01,61.0,78.0,47.0,67.0
7,2015-04-01,61.0,78.0,47.0,67.0
8,2015-05-01,61.0,78.0,47.0,67.0
9,2015-06-01,61.0,78.0,47.0,67.0
10,2015-07-01,61.0,78.0,47.0,67.0
11,2015-08-01,61.0,78.0,47.0,67.0
12,2015-09-01,62.0,77.0,50.0,67.0
13,2015-10-01,62.0,77.0,50.0,67.0
14,2015-11-01,62.0,77.0,50.0,67.0
15,2015-12-01,62.0,77.0,50.0,67.0
16,2016-01-01,62.07,77.44,50.22,67.05
17,2016-02-01,62.07,77.44,50.22,67.05
18,2016-03-01,62.07,77.44,50.22,67.05
19,2016-04-01,60.77,77.45,49.59,63.65
20,2016-05-01,60.77,77.45,49.59,63.65
21,2016-06-01,60.77,77.45,49.59,63.65
22,2016-07-01,60.77,77.45,49.59,63.65
23,2016-08-01,61.53,77.45,49.59,66.19
24,2016-09-01,64.69,77.45,53.28,71.19
25,2016-10-01,64.69,77.45,53.28,71.19
26,2016-11-01,64.69,77.45,53.28,71.19
27,2016-12-01,63.93,77.45,53.28,68.66
28,2017-01-01,63.93,77.45,53.28,68.66
29,2017-02-01,63.93,77.45,53.28,68.66
30,2017-03-01,63.93,77.45,53.28,68.66
31,2017-04-01,63.93,77.45,53.28,68.66
32,2017-05-01,65.0,77.45,55.66,68.66
33,2017-06-01,65.0,77.45,55.66,68.66
34,2017-07-01,65.0,77.45,55.66,68.66
35,2017-08-01,65.0,77.45,55.66,68.66
36,2017-09-01,63.0,77.45,55.36,62.4
37,2017-10-01,62.83,74.65,57.04,61.65
38,2017-11-01,62.83,74.65,57.04,61.65
39,2017-12-01,62.83,74.65,57.04,61.65
40,2018-01-01,62.83,74.65,57.04,61.65
41,2018-02-01,62.83,74.65,57.04,61.65
42,2018-03-01,62.83,74.65,57.04,61.65
43,2018-04-01,62.83,74.65,57.04,61.65
44,2018-05-01,62.83,74.65,57.04,61.65
45,2018-06-01,62.83,74.65,57.04,61.65
46,2018-07-01,62.83,74.65,57.04,61.65
47,2018-08-01,62.83,74.65,57.04,61.65
48,2018-09-01,62.83,74.65,57.04,61.65
49,2018-10-01,62.63,74.95,56.43,61.65
50,2018-11-01,62.69,74.95,56.47,61.8
51,2018-12-01,63.13,74.95,57.46,61.8
52,2019-01-01,61.86,70.95,54.48,65.34
53,2019-02-01,61.86,70.95,54.48,65.34
54,2019-03-01,61.58,70.95,53.87,65.34
55,2019-04-01,61.58,70.95,53.87,65.34
56,2019-05-01,61.58,70.95,53.87,65.34
57,2019-06-01,61.56,70.89,53.87,65.34
58,2019-07-01,61.56,70.89,53.87,65.34
59,2019-08-01,61.56,70.89,53.87,65.34
60,2019-09-01,61.56,70.89,53.87,65.34
61,2019-10-01,61.56,70.89,53.87,65.34
62,2019-11-01,61.56,70.89,53.87,65.34
63,2019-12-01,60.05,68.89,51.63,65.34
64,2020-01-01,35.92,6.5,17.97,11.45
65,2020-02-01,35.81,6.39,17.97,11.45
66,2020-03-01,35.81,6.39,17.97,11.45
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,40.24,6.97,20.05,13.23
71,2020-08-01,40.24,6.97,20.05,13.23
72,2020-09-01,,,,
73,2020-10-01,34.12,6.4,15.52,12.19
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,34.12,6.4,15.52,12.19
77,2021-02-01,34.12,6.4,15.52,12.19
78,2021-03-01,34.12,6.4,15.52,12.19
79,2021-04-01,,,,
80,2021-05-01,33.63,5.95,15.48,12.19
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,29.14,5.55,15.73,7.86
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,29.05,5.69,15.74,7.63
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,29.05,5.69,15.74,7.63
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,29.44,5.49,14.11,9.84
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,29.53,5.49,14.11,9.93
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,27.17,5.25,12.85,9.07
