,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,30.58,5.5,16.37,8.72
65,2020-02-01,30.58,5.5,16.37,8.72
66,2020-03-01,30.58,5.5,16.37,8.72
70,2020-07-01,34.92,5.61,19.29,10.03
71,2020-08-01,34.92,5.61,19.29,10.03
73,2020-10-01,35.0,5.65,19.33,10.03
76,2021-01-01,34.44,5.28,19.33,9.83
77,2021-02-01,34.44,5.28,19.33,9.83
78,2021-03-01,34.44,5.28,19.33,9.83
80,2021-05-01,35.14,5.28,20.02,9.83
89,2022-02-01,30.55,5.56,17.83,7.16
92,2022-05-01,30.55,5.56,17.83,7.16
95,2022-08-01,25.81,5.43,12.84,7.54
108,2023-09-01,26.14,5.38,12.66,8.1
