,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,29.44,15.99,1.86,11.58
65,2020-02-01,29.44,15.99,1.86,11.58
66,2020-03-01,29.44,15.99,1.86,11.58
70,2020-07-01,32.12,15.97,1.92,14.23
71,2020-08-01,32.12,15.97,1.92,14.23
73,2020-10-01,30.68,15.13,1.99,13.56
76,2021-01-01,30.8,15.24,1.99,13.56
77,2021-02-01,30.8,15.24,1.99,13.56
78,2021-03-01,30.8,15.24,1.99,13.56
80,2021-05-01,26.66,13.98,1.87,10.81
84,2021-09-01,27.39,14.71,1.87,10.81
89,2022-02-01,27.39,14.71,1.87,10.81
92,2022-05-01,25.43,13.58,1.87,9.99
95,2022-08-01,25.32,13.79,1.87,9.67
108,2023-09-01,24.18,12.86,1.65,9.67
