,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,50.0,49.0,40.0,61.0
1,2014-10-01,50.0,49.0,40.0,61.0
2,2014-11-01,50.0,49.0,40.0,61.0
3,2014-12-01,51.0,49.0,40.0,62.0
4,2015-01-01,51.0,49.0,40.0,62.0
5,2015-02-01,51.0,49.0,40.0,62.0
6,2015-03-01,50.0,49.0,38.0,61.0
7,2015-04-01,50.0,49.0,38.0,61.0
8,2015-05-01,50.0,49.0,38.0,61.0
9,2015-06-01,50.0,49.0,38.0,61.0
10,2015-07-01,50.0,49.0,38.0,61.0
11,2015-08-01,50.0,49.0,38.0,61.0
12,2015-09-01,50.0,49.0,38.0,61.0
13,2015-10-01,50.0,49.0,38.0,61.0
14,2015-11-01,50.0,49.0,38.0,61.0
15,2015-12-01,55.0,50.0,51.0,63.0
16,2016-01-01,54.98,50.34,50.58,63.4
17,2016-02-01,54.98,50.34,50.58,63.4
18,2016-03-01,54.98,50.34,50.58,63.4
19,2016-04-01,54.98,52.93,52.67,59.6
20,2016-05-01,54.98,52.93,52.67,59.6
21,2016-06-01,55.23,52.93,53.5,59.6
22,2016-07-01,55.61,52.93,54.75,59.6
23,2016-08-01,55.61,52.93,54.75,59.6
24,2016-09-01,55.61,52.93,54.75,59.6
25,2016-10-01,55.61,52.93,54.75,59.6
26,2016-11-01,55.61,52.93,54.75,59.6
27,2016-12-01,55.87,53.28,55.17,59.6
28,2017-01-01,55.87,53.28,55.17,59.6
29,2017-02-01,55.87,53.28,55.17,59.6
30,2017-03-01,52.89,53.28,55.17,50.3
31,2017-04-01,52.89,53.28,55.17,50.3
32,2017-05-01,51.77,53.28,51.42,50.3
33,2017-06-01,51.77,53.28,51.42,50.3
34,2017-07-01,51.77,53.28,51.42,50.3
35,2017-08-01,51.72,53.28,51.25,50.3
36,2017-09-01,51.72,53.28,51.25,50.3
37,2017-10-01,52.18,52.54,52.33,51.62
38,2017-11-01,52.18,52.54,52.33,51.62
39,2017-12-01,52.23,52.65,52.33,51.62
40,2018-01-01,52.23,52.65,52.33,51.62
41,2018-02-01,52.23,52.65,52.33,51.62
42,2018-03-01,52.9,52.71,54.5,51.62
43,2018-04-01,52.9,52.71,54.5,51.62
44,2018-05-01,52.9,52.71,54.5,51.62
45,2018-06-01,52.9,52.71,54.5,51.62
46,2018-07-01,52.9,52.71,54.5,51.62
47,2018-08-01,52.9,52.71,54.5,51.62
48,2018-09-01,52.9,52.71,54.5,51.62
49,2018-10-01,52.9,52.71,54.5,51.62
50,2018-11-01,52.8,52.45,54.5,51.62
51,2018-12-01,52.8,52.45,54.5,51.62
52,2019-01-01,52.8,52.45,54.5,51.62
53,2019-02-01,52.8,52.45,54.5,51.62
54,2019-03-01,52.95,52.45,55.0,51.62
55,2019-04-01,52.95,52.45,55.0,51.62
56,2019-05-01,54.39,54.38,56.25,52.64
57,2019-06-01,54.59,54.38,56.92,52.64
58,2019-07-01,54.59,54.38,56.92,52.64
59,2019-08-01,54.59,54.38,56.92,52.64
60,2019-09-01,54.59,54.38,56.92,52.64
61,2019-10-01,54.59,54.38,56.92,52.64
62,2019-11-01,54.59,54.38,56.92,52.64
63,2019-12-01,52.3,53.72,50.16,52.64
64,2020-01-01,26.29,13.64,1.38,11.27
65,2020-02-01,26.29,13.64,1.38,11.27
66,2020-03-01,26.29,13.64,1.38,11.27
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,26.02,13.37,1.38,11.27
71,2020-08-01,26.02,13.37,1.38,11.27
72,2020-09-01,,,,
73,2020-10-01,25.15,13.25,1.26,10.65
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,25.15,13.25,1.26,10.65
77,2021-02-01,25.15,13.25,1.26,10.65
78,2021-03-01,25.15,13.25,1.26,10.65
79,2021-04-01,,,,
80,2021-05-01,25.15,13.25,1.26,10.65
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,24.44,12.69,1.66,10.1
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,24.57,12.81,1.66,10.1
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,24.57,12.81,1.66,10.1
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,24.59,12.73,1.66,10.21
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,24.48,11.27,1.63,11.58
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,24.11,11.66,1.63,10.82
