,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,25.05,13.86,0.14,11.04
65,2020-02-01,25.05,13.86,0.14,11.04
66,2020-03-01,25.05,13.86,0.14,11.04
70,2020-07-01,24.72,13.54,0.14,11.04
71,2020-08-01,24.72,13.54,0.14,11.04
73,2020-10-01,24.54,12.73,0.14,11.67
76,2021-01-01,24.54,12.73,0.14,11.67
77,2021-02-01,24.54,12.73,0.14,11.67
78,2021-03-01,24.54,12.73,0.14,11.67
80,2021-05-01,24.54,12.73,0.14,11.67
84,2021-09-01,21.53,12.31,0.13,9.09
89,2022-02-01,21.79,12.49,0.13,9.18
92,2022-05-01,21.75,12.44,0.13,9.18
95,2022-08-01,21.75,12.44,0.13,9.18
100,2023-01-01,21.28,10.47,0.11,10.7
108,2023-09-01,21.16,10.15,0.09,10.92
