,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,56.0,65.0,60.0,49.0
1,2014-10-01,56.0,65.0,60.0,49.0
2,2014-11-01,56.0,65.0,60.0,49.0
3,2014-12-01,56.0,65.0,60.0,49.0
4,2015-01-01,56.0,65.0,60.0,49.0
5,2015-02-01,56.0,65.0,60.0,49.0
6,2015-03-01,56.0,65.0,61.0,49.0
7,2015-04-01,56.0,65.0,61.0,49.0
8,2015-05-01,56.0,65.0,61.0,49.0
9,2015-06-01,55.0,62.0,60.0,49.0
10,2015-07-01,55.0,62.0,60.0,49.0
11,2015-08-01,55.0,62.0,60.0,49.0
12,2015-09-01,55.0,62.0,60.0,49.0
13,2015-10-01,55.0,62.0,59.0,49.0
14,2015-11-01,55.0,62.0,59.0,49.0
15,2015-12-01,55.0,62.0,60.0,49.0
16,2016-01-01,55.46,62.45,59.5,48.88
17,2016-02-01,55.46,62.45,59.5,48.88
18,2016-03-01,55.46,62.45,59.5,48.88
19,2016-04-01,53.73,62.45,59.5,45.04
20,2016-05-01,53.73,62.45,59.5,45.04
21,2016-06-01,53.73,62.45,59.5,45.04
22,2016-07-01,52.94,62.29,57.0,45.04
23,2016-08-01,57.27,60.79,64.5,50.49
24,2016-09-01,57.27,60.79,64.5,50.49
25,2016-10-01,57.27,60.79,64.5,50.49
26,2016-11-01,57.27,60.79,64.5,50.49
27,2016-12-01,57.27,60.79,64.5,50.49
28,2017-01-01,55.41,60.79,64.5,46.35
29,2017-02-01,55.41,60.79,64.5,46.35
30,2017-03-01,55.41,60.79,64.5,46.35
31,2017-04-01,55.41,60.79,64.5,46.35
32,2017-05-01,56.41,60.79,67.83,46.35
33,2017-06-01,56.41,60.79,67.83,46.35
34,2017-07-01,56.41,60.79,67.83,46.35
35,2017-08-01,56.41,60.79,67.83,46.35
36,2017-09-01,58.12,63.49,64.5,50.89
37,2017-10-01,59.29,58.59,66.0,55.2
38,2017-11-01,59.29,58.59,66.0,55.2
39,2017-12-01,59.29,58.59,66.0,55.2
40,2018-01-01,59.29,58.59,66.0,55.2
41,2018-02-01,59.29,58.59,66.0,55.2
42,2018-03-01,59.29,58.59,66.0,55.2
43,2018-04-01,59.29,58.59,66.0,55.2
44,2018-05-01,59.29,58.59,66.0,55.2
45,2018-06-01,59.29,58.59,66.0,55.2
46,2018-07-01,59.29,58.59,66.0,55.2
47,2018-08-01,61.25,60.09,66.0,58.73
48,2018-09-01,61.25,60.09,66.0,58.73
49,2018-10-01,61.25,60.09,66.0,58.73
50,2018-11-01,61.25,60.09,66.0,58.73
51,2018-12-01,61.78,62.19,66.0,58.73
52,2019-01-01,61.78,62.19,66.0,58.73
53,2019-02-01,61.78,62.19,66.0,58.73
54,2019-03-01,61.78,62.19,66.0,58.73
55,2019-04-01,61.78,62.19,66.0,58.73
56,2019-05-01,61.78,62.19,66.0,58.73
57,2019-06-01,61.78,62.19,66.0,58.73
58,2019-07-01,62.28,62.19,67.67,58.73
59,2019-08-01,62.28,62.19,67.67,58.73
60,2019-09-01,62.28,62.19,67.67,58.73
61,2019-10-01,62.28,62.19,67.67,58.73
62,2019-11-01,61.11,62.29,69.83,54.64
63,2019-12-01,61.14,63.09,64.79,57.62
64,2020-01-01,20.94,7.34,1.8,11.8
65,2020-02-01,20.94,7.34,1.8,11.8
66,2020-03-01,20.94,7.34,1.8,11.8
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,21.16,7.34,2.02,11.8
71,2020-08-01,21.16,7.34,2.02,11.8
72,2020-09-01,,,,
73,2020-10-01,21.16,7.34,2.02,11.8
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,21.35,7.53,2.02,11.8
77,2021-02-01,21.35,7.53,2.02,11.8
78,2021-03-01,21.35,7.53,2.02,11.8
79,2021-04-01,,,,
80,2021-05-01,21.34,7.63,1.91,11.8
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,20.16,7.88,1.93,10.35
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,19.94,7.66,1.93,10.35
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,19.63,7.35,1.93,10.35
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,19.63,7.35,1.93,10.35
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,16.55,6.72,2.93,6.9
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,17.01,6.93,3.0,7.09
