,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,59.0,53.0,59.0,64.0
1,2014-10-01,59.0,53.0,59.0,64.0
2,2014-11-01,59.0,53.0,59.0,64.0
3,2014-12-01,62.0,53.0,61.0,71.0
4,2015-01-01,62.0,53.0,61.0,71.0
5,2015-02-01,62.0,53.0,61.0,71.0
6,2015-03-01,61.0,53.0,60.0,70.0
7,2015-04-01,61.0,53.0,60.0,70.0
8,2015-05-01,60.0,53.0,60.0,67.0
9,2015-06-01,60.0,53.0,60.0,67.0
10,2015-07-01,60.0,53.0,60.0,67.0
11,2015-08-01,60.0,53.0,60.0,67.0
12,2015-09-01,60.0,53.0,60.0,67.0
13,2015-10-01,60.0,53.0,60.0,67.0
14,2015-11-01,60.0,53.0,60.0,67.0
15,2015-12-01,62.0,54.0,65.0,66.0
16,2016-01-01,61.83,54.25,65.33,66.42
17,2016-02-01,61.83,54.25,65.33,66.42
18,2016-03-01,61.83,54.25,65.33,66.42
19,2016-04-01,61.18,56.45,65.33,62.92
20,2016-05-01,61.18,56.45,65.33,62.92
21,2016-06-01,61.18,56.45,65.33,62.92
22,2016-07-01,59.39,56.45,65.33,57.3
23,2016-08-01,59.39,56.45,65.33,57.3
24,2016-09-01,59.39,56.45,65.33,57.3
25,2016-10-01,59.39,56.45,65.33,57.3
26,2016-11-01,59.39,56.45,65.33,57.3
27,2016-12-01,59.39,56.45,65.33,57.3
28,2017-01-01,59.39,56.45,65.33,57.3
29,2017-02-01,59.39,56.45,65.33,57.3
30,2017-03-01,59.39,56.45,65.33,57.3
31,2017-04-01,59.39,56.45,65.33,57.3
32,2017-05-01,57.97,55.62,61.67,57.3
33,2017-06-01,57.97,55.62,61.67,57.3
34,2017-07-01,57.97,55.62,61.67,57.3
35,2017-08-01,57.92,55.62,61.5,57.3
36,2017-09-01,57.92,55.62,61.5,57.3
37,2017-10-01,59.24,57.39,62.25,58.63
38,2017-11-01,59.24,57.39,62.25,58.63
39,2017-12-01,59.24,57.39,62.25,58.63
40,2018-01-01,59.24,57.39,62.25,58.63
41,2018-02-01,59.26,57.43,62.25,58.63
42,2018-03-01,59.26,57.43,62.25,58.63
43,2018-04-01,59.26,57.43,62.25,58.63
44,2018-05-01,59.26,57.43,62.25,58.63
45,2018-06-01,59.26,57.43,62.25,58.63
46,2018-07-01,59.26,57.43,62.25,58.63
47,2018-08-01,59.26,57.43,62.25,58.63
48,2018-09-01,61.06,57.43,62.25,64.25
49,2018-10-01,62.46,58.72,64.0,65.45
50,2018-11-01,62.38,58.53,64.0,65.45
51,2018-12-01,62.38,58.53,64.0,65.45
52,2019-01-01,62.38,58.53,64.0,65.45
53,2019-02-01,62.38,58.53,64.0,65.45
54,2019-03-01,62.38,58.53,64.0,65.45
55,2019-04-01,62.38,58.53,64.0,65.45
56,2019-05-01,62.38,58.53,64.0,65.45
57,2019-06-01,62.38,58.53,64.0,65.45
58,2019-07-01,62.38,58.53,64.0,65.45
59,2019-08-01,62.38,58.53,64.0,65.45
60,2019-09-01,62.38,58.53,64.0,65.45
61,2019-10-01,62.38,58.53,64.0,65.45
62,2019-11-01,62.36,58.46,64.0,65.45
63,2019-12-01,60.33,58.44,57.26,65.45
64,2020-01-01,21.36,11.31,1.48,8.57
65,2020-02-01,21.36,11.31,1.48,8.57
66,2020-03-01,21.36,11.31,1.48,8.57
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,22.63,12.64,1.28,8.7
71,2020-08-01,22.63,12.64,1.28,8.7
72,2020-09-01,,,,
73,2020-10-01,22.95,12.62,1.62,8.71
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,23.01,12.68,1.62,8.71
77,2021-02-01,23.01,12.68,1.62,8.71
78,2021-03-01,23.01,12.68,1.62,8.71
79,2021-04-01,,,,
80,2021-05-01,20.61,11.17,1.74,7.7
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,,,,
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,20.84,11.39,1.74,7.7
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,19.22,9.94,1.44,7.85
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,19.22,9.94,1.44,7.85
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,22.04,10.88,1.03,10.13
