,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,29.46,7.94,9.08,12.44
65,2020-02-01,29.46,7.94,9.08,12.44
66,2020-03-01,29.46,7.94,9.08,12.44
70,2020-07-01,29.46,7.94,9.08,12.44
71,2020-08-01,29.3,7.78,9.08,12.44
73,2020-10-01,29.32,7.8,9.08,12.44
76,2021-01-01,26.15,7.71,8.33,9.95
77,2021-02-01,26.0,7.71,8.33,9.95
78,2021-03-01,25.98,7.71,8.32,9.95
80,2021-05-01,25.98,7.71,8.32,9.95
84,2021-09-01,25.95,7.69,8.32,9.95
89,2022-02-01,25.95,7.69,8.32,9.95
92,2022-05-01,24.01,6.85,8.65,8.51
95,2022-08-01,24.08,6.92,8.65,8.51
100,2023-01-01,24.08,6.92,8.65,8.51
108,2023-09-01,23.9,6.73,8.65,8.51
