,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2017-04-01,51.59,61.25,47.91,48.9
1,2017-05-01,51.59,61.25,47.91,48.9
2,2017-06-01,51.59,61.25,47.91,48.9
3,2017-07-01,51.59,61.25,47.91,48.9
4,2017-08-01,51.59,61.25,47.91,48.9
5,2017-09-01,51.59,61.25,47.91,48.9
6,2017-10-01,51.47,55.45,49.84,50.5
7,2017-11-01,51.47,55.45,49.84,50.5
8,2017-12-01,51.47,55.45,49.84,50.5
9,2018-01-01,51.47,55.45,49.84,50.5
10,2018-02-01,51.47,55.45,49.84,50.5
11,2018-03-01,51.47,55.45,49.84,50.5
12,2018-04-01,51.47,55.45,49.84,50.5
13,2018-05-01,52.22,52.85,50.64,53.57
14,2018-06-01,52.22,52.85,50.64,53.57
15,2018-07-01,52.22,52.85,50.64,53.57
16,2018-08-01,52.22,52.85,50.64,53.57
17,2018-09-01,52.22,52.85,50.64,53.57
18,2018-10-01,53.76,52.85,54.49,53.57
19,2018-11-01,53.76,52.85,54.49,53.57
20,2018-12-01,53.76,52.85,54.49,53.57
21,2019-01-01,53.76,52.85,54.49,53.57
22,2019-02-01,53.76,52.85,54.49,53.57
23,2019-03-01,52.22,52.85,50.64,53.57
24,2019-04-01,52.22,52.85,50.64,53.57
25,2019-05-01,52.22,52.85,50.64,53.57
26,2019-06-01,54.89,52.85,57.3,53.57
27,2019-07-01,54.89,52.85,57.3,53.57
28,2019-08-01,54.89,52.85,57.3,53.57
29,2019-09-01,54.89,52.85,57.3,53.57
30,2019-10-01,54.89,52.85,57.3,53.57
31,2019-11-01,54.94,53.05,57.3,53.57
32,2019-12-01,54.52,52.55,56.47,53.68
33,2020-01-01,19.52,8.96,0.91,9.64
34,2020-02-01,19.52,8.96,0.91,9.64
35,2020-03-01,19.52,8.96,0.91,9.64
36,2020-04-01,,,,
37,2020-05-01,,,,
38,2020-06-01,,,,
39,2020-07-01,19.35,8.8,0.91,9.64
40,2020-08-01,17.62,8.16,0.4,9.06
41,2020-09-01,,,,
42,2020-10-01,17.62,8.16,0.4,9.06
43,2020-11-01,,,,
44,2020-12-01,,,,
45,2021-01-01,17.62,8.16,0.4,9.06
46,2021-02-01,17.62,8.16,0.4,9.06
47,2021-03-01,17.62,8.16,0.4,9.06
48,2021-04-01,,,,
49,2021-05-01,17.62,8.16,0.4,9.06
50,2021-06-01,,,,
51,2021-07-01,,,,
52,2021-08-01,,,,
53,2021-09-01,17.89,8.43,0.4,9.06
54,2021-10-01,,,,
55,2021-11-01,,,,
56,2021-12-01,,,,
57,2022-01-01,,,,
58,2022-02-01,17.8,8.34,0.4,9.06
59,2022-03-01,,,,
60,2022-04-01,,,,
61,2022-05-01,16.76,7.47,0.4,8.88
62,2022-06-01,,,,
63,2022-07-01,,,,
64,2022-08-01,16.4,7.11,0.4,8.88
65,2022-09-01,,,,
66,2022-10-01,,,,
67,2022-11-01,,,,
68,2022-12-01,,,,
69,2023-01-01,16.4,7.11,0.4,8.88
70,2023-02-01,,,,
71,2023-03-01,,,,
72,2023-04-01,,,,
73,2023-05-01,,,,
74,2023-06-01,,,,
75,2023-07-01,,,,
76,2023-08-01,,,,
77,2023-09-01,16.67,7.39,0.4,8.88
