,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,54.0,70.0,41.0,62.0
1,2014-10-01,54.0,70.0,41.0,62.0
2,2014-11-01,54.0,70.0,41.0,62.0
3,2014-12-01,54.0,70.0,41.0,62.0
4,2015-01-01,54.0,70.0,41.0,62.0
5,2015-02-01,54.0,70.0,41.0,62.0
6,2015-03-01,54.0,70.0,41.0,62.0
7,2015-04-01,54.0,70.0,41.0,62.0
8,2015-05-01,54.0,70.0,41.0,62.0
9,2015-06-01,54.0,70.0,41.0,62.0
10,2015-07-01,54.0,70.0,41.0,62.0
11,2015-08-01,54.0,70.0,41.0,62.0
12,2015-09-01,54.0,70.0,41.0,62.0
13,2015-10-01,54.0,70.0,41.0,61.0
14,2015-11-01,54.0,70.0,41.0,61.0
15,2015-12-01,54.0,70.0,41.0,62.0
16,2016-01-01,54.46,70.0,41.11,61.54
17,2016-02-01,54.46,70.0,41.11,61.54
18,2016-03-01,54.46,70.0,41.11,61.54
19,2016-04-01,53.45,70.0,41.11,58.18
20,2016-05-01,53.45,70.0,41.11,58.18
21,2016-06-01,53.45,70.0,41.11,58.18
22,2016-07-01,53.45,70.0,41.11,58.18
23,2016-08-01,53.45,70.0,41.11,58.18
24,2016-09-01,52.9,70.0,41.11,56.32
25,2016-10-01,52.9,70.0,41.11,56.32
26,2016-11-01,52.95,70.0,41.11,56.49
27,2016-12-01,52.27,64.0,45.33,52.9
28,2017-01-01,49.74,62.46,39.93,53.86
29,2017-02-01,49.69,62.46,39.93,53.71
30,2017-03-01,49.69,62.46,39.93,53.71
31,2017-04-01,49.69,62.46,39.93,53.71
32,2017-05-01,49.69,62.46,39.93,53.71
33,2017-06-01,49.69,62.46,39.93,53.71
34,2017-07-01,49.69,62.46,39.93,53.71
35,2017-08-01,49.69,62.46,39.93,53.71
36,2017-09-01,47.29,62.46,35.63,52.13
37,2017-10-01,46.7,60.12,35.63,52.13
38,2017-11-01,46.7,60.12,35.63,52.13
39,2017-12-01,46.7,60.12,35.63,52.13
40,2018-01-01,46.7,60.12,35.63,52.13
41,2018-02-01,46.7,60.12,35.63,52.13
42,2018-03-01,46.7,60.12,35.63,52.13
43,2018-04-01,46.7,60.12,35.63,52.13
44,2018-05-01,46.7,60.12,35.63,52.13
45,2018-06-01,46.7,60.12,35.63,52.13
46,2018-07-01,46.7,60.12,35.63,52.13
47,2018-08-01,46.7,60.12,35.63,52.13
48,2018-09-01,46.7,60.12,35.63,52.13
49,2018-10-01,46.7,60.12,35.63,52.13
50,2018-11-01,46.7,60.12,35.63,52.13
51,2018-12-01,46.7,60.12,35.63,52.13
52,2019-01-01,46.7,60.12,35.63,52.13
53,2019-02-01,46.7,60.12,35.63,52.13
54,2019-03-01,46.59,60.12,35.39,52.13
55,2019-04-01,46.59,60.12,35.39,52.13
56,2019-05-01,46.59,60.12,35.39,52.13
57,2019-06-01,46.59,60.12,35.39,52.13
58,2019-07-01,46.59,60.12,35.39,52.13
59,2019-08-01,52.24,67.15,41.29,56.26
60,2019-09-01,52.24,67.15,41.29,56.26
61,2019-10-01,52.24,67.15,41.29,56.26
62,2019-11-01,52.24,67.15,41.29,56.26
63,2019-12-01,52.18,67.05,40.33,57.57
64,2020-01-01,35.46,6.52,14.33,14.61
65,2020-02-01,35.46,6.52,14.33,14.61
66,2020-03-01,35.38,6.52,14.35,14.5
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,35.63,6.78,14.35,14.5
71,2020-08-01,35.63,6.78,14.35,14.5
72,2020-09-01,,,,
73,2020-10-01,35.65,6.8,14.35,14.5
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,35.65,6.8,14.35,14.5
77,2021-02-01,35.65,6.8,14.35,14.5
78,2021-03-01,31.68,6.82,12.8,12.06
79,2021-04-01,,,,
80,2021-05-01,31.53,6.67,12.8,12.06
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,31.78,6.67,12.8,12.31
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,31.78,6.67,12.8,12.31
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,34.79,6.54,14.83,13.42
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,34.79,6.54,14.83,13.42
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,34.79,6.54,14.83,13.42
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,34.61,6.36,14.83,13.42
