,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,70.0,77.0,64.0,75.0
1,2014-10-01,69.0,77.0,64.0,75.0
2,2014-11-01,70.0,77.0,64.0,75.0
3,2014-12-01,70.0,77.0,64.0,75.0
4,2015-01-01,71.0,80.0,64.0,73.0
5,2015-02-01,72.0,84.0,64.0,73.0
6,2015-03-01,73.0,84.0,66.0,73.0
7,2015-04-01,73.0,84.0,66.0,73.0
8,2015-05-01,73.0,84.0,66.0,73.0
9,2015-06-01,73.0,84.0,66.0,73.0
10,2015-07-01,73.0,84.0,66.0,73.0
11,2015-08-01,73.0,84.0,66.0,73.0
12,2015-09-01,73.0,84.0,66.0,73.0
13,2015-10-01,73.0,84.0,66.0,73.0
14,2015-11-01,73.0,84.0,66.0,73.0
15,2015-12-01,73.0,84.0,66.0,73.0
16,2016-01-01,74.06,81.95,67.75,76.95
17,2016-02-01,74.06,81.95,67.75,76.95
18,2016-03-01,74.06,81.95,67.75,76.95
19,2016-04-01,74.13,81.95,68.36,76.25
20,2016-05-01,74.13,81.95,68.36,76.25
21,2016-06-01,74.13,81.95,68.36,76.25
22,2016-07-01,74.13,81.95,68.36,76.25
23,2016-08-01,74.13,81.95,68.36,76.25
24,2016-09-01,74.13,81.95,68.36,76.25
25,2016-10-01,74.13,81.95,68.36,76.25
26,2016-11-01,74.13,81.95,68.36,76.25
27,2016-12-01,74.13,81.95,68.36,76.25
28,2017-01-01,72.86,81.95,65.55,76.25
29,2017-02-01,72.86,81.95,65.55,76.25
30,2017-03-01,72.86,81.95,65.55,76.25
31,2017-04-01,71.81,80.95,64.45,75.25
32,2017-05-01,71.81,80.95,64.45,75.25
33,2017-06-01,71.81,80.95,64.45,75.25
34,2017-07-01,71.81,80.95,64.45,75.25
35,2017-08-01,71.81,80.95,64.45,75.25
36,2017-09-01,71.81,80.95,64.45,75.25
37,2017-10-01,71.21,78.65,64.4,75.25
38,2017-11-01,71.21,78.65,64.4,75.25
39,2017-12-01,71.21,78.65,64.4,75.25
40,2018-01-01,71.21,78.65,64.4,75.25
41,2018-02-01,71.21,78.65,64.4,75.25
42,2018-03-01,71.21,78.65,64.4,75.25
43,2018-04-01,71.21,78.65,64.4,75.25
44,2018-05-01,71.21,78.65,64.4,75.25
45,2018-06-01,71.21,78.65,64.4,75.25
46,2018-07-01,71.21,78.65,64.4,75.25
47,2018-08-01,71.21,78.65,64.4,75.25
48,2018-09-01,71.21,78.65,64.4,75.25
49,2018-10-01,70.41,77.75,63.11,75.25
50,2018-11-01,67.89,72.65,60.57,74.91
51,2018-12-01,67.89,72.65,60.57,74.91
52,2019-01-01,67.89,72.65,60.57,74.91
53,2019-02-01,67.89,72.65,60.57,74.91
54,2019-03-01,67.89,72.65,60.57,74.91
55,2019-04-01,68.08,74.65,60.57,73.88
56,2019-05-01,68.08,74.65,60.57,73.88
57,2019-06-01,68.08,74.65,60.57,73.88
58,2019-07-01,67.0,74.65,58.16,73.88
59,2019-08-01,67.22,75.55,58.16,73.88
60,2019-09-01,67.22,75.55,58.16,73.88
61,2019-10-01,67.22,75.55,58.16,73.88
62,2019-11-01,67.22,75.55,58.16,73.88
63,2019-12-01,66.01,74.55,56.02,73.88
64,2020-01-01,29.33,6.14,13.1,10.1
65,2020-02-01,29.33,6.14,13.1,10.1
66,2020-03-01,29.33,6.14,13.1,10.1
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,28.99,5.64,13.35,10.01
71,2020-08-01,28.99,5.64,13.35,10.01
72,2020-09-01,,,,
73,2020-10-01,29.02,5.66,13.35,10.01
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,29.02,5.66,13.35,10.01
77,2021-02-01,29.02,5.66,13.35,10.01
78,2021-03-01,29.02,5.66,13.35,10.01
79,2021-04-01,,,,
80,2021-05-01,27.66,5.27,13.06,9.33
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,27.66,5.27,13.06,9.33
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,27.45,5.27,13.1,9.08
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,27.76,5.58,13.1,9.08
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,27.76,5.58,13.1,9.08
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,21.89,5.27,9.04,7.58
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,21.62,5.0,9.04,7.58
