,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,39.19,10.16,8.2,20.82
65,2020-02-01,39.19,10.16,8.2,20.82
66,2020-03-01,39.19,10.16,8.2,20.82
70,2020-07-01,38.98,10.16,8.02,20.8
71,2020-08-01,38.98,10.16,8.02,20.8
73,2020-10-01,38.65,9.76,8.02,20.87
76,2021-01-01,36.25,8.81,7.79,19.66
77,2021-02-01,36.25,8.81,7.79,19.66
78,2021-03-01,36.25,8.81,7.79,19.66
80,2021-05-01,36.61,8.81,8.15,19.66
84,2021-09-01,36.09,8.22,8.15,19.72
89,2022-02-01,34.68,7.87,7.08,19.72
92,2022-05-01,34.68,7.87,7.08,19.72
95,2022-08-01,34.68,7.87,7.08,19.72
108,2023-09-01,39.6,8.29,8.84,22.48
