,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,27.73,10.47,1.74,15.52
65,2020-02-01,27.73,10.47,1.74,15.52
66,2020-03-01,27.73,10.47,1.74,15.52
70,2020-07-01,27.32,10.06,1.74,15.52
71,2020-08-01,28.03,10.68,1.74,15.61
73,2020-10-01,28.03,10.68,1.74,15.61
76,2021-01-01,26.29,10.74,1.62,13.93
77,2021-02-01,26.29,10.74,1.62,13.93
78,2021-03-01,26.29,10.74,1.62,13.93
80,2021-05-01,26.37,10.82,1.62,13.93
84,2021-09-01,27.01,11.46,1.62,13.93
89,2022-02-01,27.27,11.28,1.62,14.37
92,2022-05-01,27.27,11.28,1.62,14.37
95,2022-08-01,27.15,11.16,1.62,14.37
108,2023-09-01,28.3,11.48,1.73,15.09
