,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,69.0,63.0,85.0,64.0
1,2014-10-01,69.0,63.0,85.0,64.0
2,2014-11-01,69.0,63.0,85.0,64.0
3,2014-12-01,69.0,63.0,85.0,64.0
4,2015-01-01,69.0,63.0,85.0,64.0
5,2015-02-01,69.0,63.0,85.0,64.0
6,2015-03-01,69.0,63.0,84.0,64.0
7,2015-04-01,69.0,63.0,84.0,64.0
8,2015-05-01,69.0,63.0,84.0,64.0
9,2015-06-01,66.0,63.0,84.0,59.0
10,2015-07-01,66.0,63.0,84.0,59.0
11,2015-08-01,66.0,63.0,84.0,59.0
12,2015-09-01,66.0,63.0,84.0,59.0
13,2015-10-01,66.0,62.0,83.0,60.0
14,2015-11-01,66.0,62.0,83.0,60.0
15,2015-12-01,66.0,62.0,83.0,60.0
16,2016-01-01,66.25,62.36,82.6,59.77
17,2016-02-01,66.25,62.36,82.6,59.77
18,2016-03-01,66.25,62.36,82.6,59.77
19,2016-04-01,65.01,62.37,82.6,57.01
20,2016-05-01,65.01,62.37,82.6,57.01
21,2016-06-01,65.01,62.37,82.6,57.01
22,2016-07-01,65.01,62.37,82.6,57.01
23,2016-08-01,65.01,62.37,82.6,57.01
24,2016-09-01,65.01,62.37,82.6,57.01
25,2016-10-01,65.01,62.37,82.6,57.01
26,2016-11-01,64.68,62.37,82.6,56.27
27,2016-12-01,64.68,62.37,82.6,56.27
28,2017-01-01,64.68,62.37,82.6,56.27
29,2017-02-01,64.68,62.37,82.6,56.27
30,2017-03-01,65.43,64.87,82.6,56.27
31,2017-04-01,65.43,64.87,82.6,56.27
32,2017-05-01,64.93,64.87,80.6,56.27
33,2017-06-01,64.93,64.87,80.6,56.27
34,2017-07-01,64.93,64.87,80.6,56.27
35,2017-08-01,64.93,64.87,80.6,56.27
36,2017-09-01,64.93,64.87,80.6,56.27
37,2017-10-01,65.12,63.12,81.6,57.31
38,2017-11-01,65.12,63.12,81.6,57.31
39,2017-12-01,65.12,63.12,81.6,57.31
40,2018-01-01,64.76,60.62,81.0,58.51
41,2018-02-01,64.76,60.62,81.0,58.51
42,2018-03-01,64.76,60.62,81.0,58.51
43,2018-04-01,64.66,60.28,81.0,58.51
44,2018-05-01,64.66,60.28,81.0,58.51
45,2018-06-01,64.66,60.28,81.0,58.51
46,2018-07-01,64.66,60.28,81.0,58.51
47,2018-08-01,64.66,60.28,81.0,58.51
48,2018-09-01,64.66,60.28,81.0,58.51
49,2018-10-01,64.61,60.28,81.0,58.4
50,2018-11-01,64.71,60.62,81.0,58.4
51,2018-12-01,61.72,60.62,81.0,51.74
52,2019-01-01,61.72,60.62,81.0,51.74
53,2019-02-01,61.72,60.62,81.0,51.74
54,2019-03-01,62.09,60.62,82.5,51.74
55,2019-04-01,62.09,60.62,82.5,51.74
56,2019-05-01,62.09,60.62,82.5,51.74
57,2019-06-01,62.09,60.62,82.5,51.74
58,2019-07-01,62.09,60.62,82.5,51.74
59,2019-08-01,62.34,61.45,82.5,51.74
60,2019-09-01,62.34,61.45,82.5,51.74
61,2019-10-01,62.34,61.45,82.5,51.74
62,2019-11-01,62.29,61.45,82.3,51.74
63,2019-12-01,32.94,11.06,3.4,18.48
64,2020-01-01,32.94,11.06,3.4,18.48
65,2020-02-01,32.94,11.06,3.4,18.48
66,2020-03-01,32.72,10.77,3.55,18.4
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,31.74,10.31,3.37,18.06
71,2020-08-01,31.74,10.31,3.37,18.06
72,2020-09-01,,,,
73,2020-10-01,31.76,10.33,3.37,18.06
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,31.36,9.91,3.37,18.08
77,2021-02-01,28.57,9.5,3.37,15.69
78,2021-03-01,28.57,9.5,3.37,15.69
79,2021-04-01,,,,
80,2021-05-01,29.0,9.47,3.83,15.69
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,29.01,9.47,3.83,15.71
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,28.31,9.34,3.83,15.14
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,26.47,7.48,3.7,15.29
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,26.74,7.48,3.7,15.56
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,23.82,7.13,3.04,13.65
