,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,27.71,10.64,1.54,15.54
65,2020-02-01,28.19,11.05,1.33,15.82
66,2020-03-01,28.19,11.05,1.33,15.82
70,2020-07-01,28.19,11.05,1.33,15.82
71,2020-08-01,28.19,11.05,1.33,15.82
73,2020-10-01,28.16,11.02,1.33,15.82
76,2021-01-01,22.63,7.4,0.03,15.2
77,2021-02-01,22.63,7.4,0.03,15.2
78,2021-03-01,22.63,7.4,0.03,15.2
80,2021-05-01,22.79,7.56,0.03,15.2
84,2021-09-01,22.99,7.76,0.03,15.2
89,2022-02-01,22.47,7.21,0.33,14.93
92,2022-05-01,22.83,7.56,0.34,14.93
95,2022-08-01,22.83,7.56,0.34,14.93
108,2023-09-01,22.74,7.07,1.31,14.37
