,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,68.0,64.0,67.0,73.0
1,2014-10-01,68.0,64.0,67.0,73.0
2,2014-11-01,68.0,64.0,67.0,73.0
3,2014-12-01,68.0,64.0,67.0,72.0
4,2015-01-01,68.0,64.0,67.0,72.0
5,2015-02-01,68.0,64.0,67.0,72.0
6,2015-03-01,68.0,64.0,68.0,72.0
7,2015-04-01,68.0,64.0,68.0,72.0
8,2015-05-01,68.0,64.0,68.0,72.0
9,2015-06-01,66.0,59.0,68.0,72.0
10,2015-07-01,66.0,59.0,68.0,72.0
11,2015-08-01,67.0,58.0,70.0,72.0
12,2015-09-01,67.0,59.0,70.0,72.0
13,2015-10-01,67.0,59.0,70.0,72.0
14,2015-11-01,67.0,59.0,70.0,72.0
15,2015-12-01,67.0,59.0,70.0,72.0
16,2016-01-01,66.92,58.96,69.83,72.39
17,2016-02-01,66.92,58.96,69.83,72.39
18,2016-03-01,66.92,58.96,69.83,72.39
19,2016-04-01,63.85,56.68,69.83,66.75
20,2016-05-01,63.85,56.68,69.83,66.75
21,2016-06-01,63.85,56.68,69.83,66.75
22,2016-07-01,63.23,56.68,67.75,66.75
23,2016-08-01,64.49,60.01,67.75,66.75
24,2016-09-01,65.25,58.87,69.0,69.3
25,2016-10-01,65.25,58.87,69.0,69.3
26,2016-11-01,66.75,58.87,74.0,69.3
27,2016-12-01,66.75,58.87,74.0,69.3
28,2017-01-01,66.75,58.87,74.0,69.3
29,2017-02-01,66.75,58.87,74.0,69.3
30,2017-03-01,70.4,59.75,85.07,69.3
31,2017-04-01,70.4,59.75,85.07,69.3
32,2017-05-01,69.36,59.75,85.59,65.55
33,2017-06-01,69.36,59.75,85.59,65.55
34,2017-07-01,69.36,59.75,85.59,65.55
35,2017-08-01,69.36,59.75,85.59,65.55
36,2017-09-01,69.36,59.75,85.59,65.55
37,2017-10-01,67.83,57.36,83.52,65.55
38,2017-11-01,67.83,57.36,83.52,65.55
39,2017-12-01,67.83,57.36,83.52,65.55
40,2018-01-01,67.83,57.36,83.52,65.55
41,2018-02-01,67.83,57.36,83.52,65.55
42,2018-03-01,67.83,57.36,83.52,65.55
43,2018-04-01,64.46,55.02,75.25,65.55
44,2018-05-01,64.45,54.98,75.25,65.55
45,2018-06-01,64.45,54.98,75.25,65.55
46,2018-07-01,64.45,54.98,75.25,65.55
47,2018-08-01,64.45,54.98,75.25,65.55
48,2018-09-01,64.45,54.98,75.25,65.55
49,2018-10-01,64.45,54.98,75.25,65.55
50,2018-11-01,64.12,54.12,75.25,65.55
51,2018-12-01,64.12,54.12,75.25,65.55
52,2019-01-01,69.24,58.13,87.19,65.55
53,2019-02-01,69.24,58.13,87.19,65.55
54,2019-03-01,69.55,58.13,88.22,65.55
55,2019-04-01,69.85,58.92,88.22,65.55
56,2019-05-01,71.74,61.29,91.52,65.55
57,2019-06-01,71.74,61.29,91.52,65.55
58,2019-07-01,71.74,61.29,91.52,65.55
59,2019-08-01,71.74,61.29,91.52,65.55
60,2019-09-01,71.74,61.29,91.52,65.55
61,2019-10-01,71.74,61.29,91.52,65.55
62,2019-11-01,71.74,61.29,91.52,65.55
63,2019-12-01,30.12,13.75,1.65,14.72
64,2020-01-01,30.67,14.29,1.65,14.72
65,2020-02-01,30.67,14.29,1.65,14.72
66,2020-03-01,28.59,14.05,1.65,12.88
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,28.59,14.05,1.65,12.88
71,2020-08-01,28.59,14.05,1.65,12.88
72,2020-09-01,,,,
73,2020-10-01,26.34,13.44,1.47,11.43
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,26.34,13.43,1.47,11.43
77,2021-02-01,26.34,13.43,1.47,11.43
78,2021-03-01,26.34,13.43,1.47,11.43
79,2021-04-01,,,,
80,2021-05-01,26.34,13.43,1.47,11.43
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,25.21,12.64,1.75,10.83
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,27.77,13.34,1.66,12.77
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,29.17,14.03,1.75,13.4
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,26.68,11.82,1.75,13.11
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,29.24,13.69,1.8,13.75
