,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,37.74,9.79,7.24,20.7
65,2020-02-01,37.74,9.79,7.24,20.7
66,2020-03-01,37.74,9.79,7.24,20.7
70,2020-07-01,37.02,9.66,7.23,20.12
71,2020-08-01,39.33,8.87,10.72,19.74
73,2020-10-01,39.35,8.89,10.72,19.74
76,2021-01-01,39.35,8.89,10.72,19.74
77,2021-02-01,39.25,8.89,10.72,19.63
78,2021-03-01,39.25,8.89,10.72,19.63
80,2021-05-01,39.12,8.89,10.59,19.63
84,2021-09-01,34.28,8.62,7.18,18.47
89,2022-02-01,34.28,8.62,7.18,18.47
92,2022-05-01,34.28,8.62,7.18,18.47
95,2022-08-01,34.18,8.47,7.18,18.52
108,2023-09-01,36.17,8.06,10.43,17.69
