,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,17.33,5.51,1.18,10.65
65,2020-02-01,17.17,5.54,1.16,10.48
66,2020-03-01,17.17,5.54,1.16,10.48
70,2020-07-01,17.17,5.54,1.16,10.48
71,2020-08-01,17.17,5.54,1.16,10.48
73,2020-10-01,17.04,5.4,1.16,10.48
76,2021-01-01,17.04,5.4,1.16,10.48
77,2021-02-01,17.04,5.4,1.16,10.48
78,2021-03-01,17.04,5.4,1.16,10.48
80,2021-05-01,17.04,5.4,1.16,10.48
84,2021-09-01,13.13,4.73,1.06,7.35
89,2022-02-01,13.13,4.73,1.06,7.35
92,2022-05-01,13.13,4.73,1.06,7.35
95,2022-08-01,12.27,4.8,1.41,6.06
100,2023-01-01,12.19,4.72,1.41,6.06
108,2023-09-01,12.02,4.81,2.33,4.88
