,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2016-05-01,48.71,71.45,42.14,39.99
1,2016-06-01,48.44,71.45,41.45,39.99
2,2016-07-01,47.35,71.45,38.73,39.99
3,2016-08-01,47.35,71.45,38.73,39.99
4,2016-09-01,47.35,71.45,38.73,39.99
5,2016-10-01,47.35,71.45,38.73,39.99
6,2016-11-01,47.35,71.45,38.73,39.99
7,2016-12-01,47.35,71.45,38.73,39.99
8,2017-01-01,47.35,71.45,38.73,39.99
9,2017-02-01,47.35,71.45,38.73,39.99
10,2017-03-01,47.35,71.45,38.73,39.99
11,2017-04-01,47.35,71.45,38.73,39.99
12,2017-05-01,47.35,71.45,38.73,39.99
13,2017-06-01,47.35,71.45,38.73,39.99
14,2017-07-01,47.35,71.45,38.73,39.99
15,2017-08-01,47.35,71.45,38.73,39.99
16,2017-09-01,45.65,64.65,38.73,39.99
17,2017-10-01,45.69,59.95,40.38,41.59
18,2017-11-01,45.69,59.95,40.38,41.59
19,2017-12-01,45.69,59.95,40.38,41.59
20,2018-01-01,45.69,59.95,40.38,41.59
21,2018-02-01,45.69,59.95,40.38,41.59
22,2018-03-01,45.69,59.95,40.38,41.59
23,2018-04-01,45.69,59.95,40.38,41.59
24,2018-05-01,45.69,59.95,40.38,41.59
25,2018-06-01,45.69,59.95,40.38,41.59
26,2018-07-01,45.69,59.95,40.38,41.59
27,2018-08-01,45.69,59.95,40.38,41.59
28,2018-09-01,45.69,59.95,40.38,41.59
29,2018-10-01,45.69,59.95,40.38,41.59
30,2018-11-01,45.59,59.55,40.38,41.59
31,2018-12-01,48.14,60.65,44.08,43.84
32,2019-01-01,48.14,60.65,44.08,43.84
33,2019-02-01,48.14,60.65,44.08,43.84
34,2019-03-01,48.14,60.65,44.08,43.84
35,2019-04-01,48.14,60.65,44.08,43.84
36,2019-05-01,48.14,60.65,44.08,43.84
37,2019-06-01,48.14,60.65,44.08,43.84
38,2019-07-01,48.14,60.65,44.08,43.84
39,2019-08-01,48.14,60.65,44.08,43.84
40,2019-09-01,48.14,60.65,44.08,43.84
41,2019-10-01,48.14,60.65,44.08,43.84
42,2019-11-01,48.07,57.85,45.65,43.84
43,2019-12-01,47.74,57.65,44.26,44.63
44,2020-01-01,11.08,4.01,3.62,3.45
45,2020-02-01,11.08,4.01,3.62,3.45
46,2020-03-01,11.08,4.01,3.62,3.45
47,2020-04-01,,,,
48,2020-05-01,,,,
49,2020-06-01,,,,
50,2020-07-01,11.08,4.01,3.62,3.45
51,2020-08-01,11.08,4.01,3.62,3.45
52,2020-09-01,,,,
53,2020-10-01,11.08,4.01,3.62,3.45
54,2020-11-01,,,,
55,2020-12-01,,,,
56,2021-01-01,10.84,3.76,3.62,3.45
57,2021-02-01,10.84,3.76,3.62,3.45
58,2021-03-01,10.84,3.76,3.62,3.45
59,2021-04-01,,,,
60,2021-05-01,10.84,3.76,3.62,3.45
61,2021-06-01,,,,
62,2021-07-01,,,,
63,2021-08-01,,,,
64,2021-09-01,9.14,3.45,2.4,3.29
65,2021-10-01,,,,
66,2021-11-01,,,,
67,2021-12-01,,,,
68,2022-01-01,,,,
69,2022-02-01,9.14,3.45,2.4,3.29
70,2022-03-01,,,,
71,2022-04-01,,,,
72,2022-05-01,9.14,3.45,2.4,3.29
73,2022-06-01,,,,
74,2022-07-01,,,,
75,2022-08-01,9.14,3.45,2.4,3.29
76,2022-09-01,,,,
77,2022-10-01,,,,
78,2022-11-01,,,,
79,2022-12-01,,,,
80,2023-01-01,9.23,3.54,2.4,3.29
81,2023-02-01,,,,
82,2023-03-01,,,,
83,2023-04-01,,,,
84,2023-05-01,,,,
85,2023-06-01,,,,
86,2023-07-01,,,,
87,2023-08-01,,,,
88,2023-09-01,9.21,3.52,2.48,3.21
