,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,34.36,9.13,15.04,10.18
65,2020-02-01,34.36,9.13,15.04,10.18
66,2020-03-01,30.3,7.71,14.89,7.71
70,2020-07-01,29.85,7.28,14.86,7.71
71,2020-08-01,29.85,7.28,14.86,7.71
73,2020-10-01,29.87,7.31,14.86,7.71
76,2021-01-01,29.87,7.31,14.86,7.71
77,2021-02-01,29.87,7.31,14.86,7.71
78,2021-03-01,29.87,7.31,14.86,7.71
80,2021-05-01,30.43,7.31,15.42,7.71
84,2021-09-01,30.6,7.47,15.42,7.71
89,2022-02-01,30.53,7.47,15.42,7.64
92,2022-05-01,29.36,6.8,14.75,7.81
95,2022-08-01,29.27,6.47,15.09,7.71
100,2023-01-01,29.27,6.47,15.09,7.71
108,2023-09-01,26.13,5.57,14.7,5.86
