,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,48.43,7.83,24.42,16.18
65,2020-02-01,48.25,7.93,24.04,16.28
66,2020-03-01,48.25,7.93,24.04,16.28
70,2020-07-01,47.74,7.42,24.04,16.28
71,2020-08-01,47.74,7.42,24.04,16.28
73,2020-10-01,32.84,5.14,18.5,9.2
76,2021-01-01,32.96,5.14,18.62,9.2
77,2021-02-01,32.96,5.14,18.62,9.2
78,2021-03-01,32.96,5.14,18.62,9.2
80,2021-05-01,32.96,5.14,18.62,9.2
84,2021-09-01,32.96,5.14,18.62,9.2
89,2022-02-01,32.64,5.37,18.16,9.11
92,2022-05-01,29.89,5.49,16.68,7.73
95,2022-08-01,30.03,5.49,16.82,7.73
100,2023-01-01,30.03,5.49,16.82,7.73
108,2023-09-01,29.33,5.42,16.19,7.73
