,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,25.45,7.96,8.87,8.62
65,2020-02-01,25.45,7.96,8.87,8.62
66,2020-03-01,25.45,7.96,8.87,8.62
70,2020-07-01,25.23,7.96,8.65,8.62
71,2020-08-01,25.23,7.96,8.65,8.62
73,2020-10-01,25.23,7.96,8.65,8.62
76,2021-01-01,22.75,7.18,7.28,8.28
77,2021-02-01,22.75,7.18,7.28,8.28
78,2021-03-01,22.75,7.18,7.28,8.28
80,2021-05-01,22.97,7.18,7.5,8.28
84,2021-09-01,22.47,6.96,7.5,8.0
89,2022-02-01,19.66,6.59,6.53,6.53
92,2022-05-01,19.66,6.59,6.53,6.53
95,2022-08-01,19.66,6.59,6.53,6.53
100,2023-01-01,19.79,6.62,6.53,6.63
108,2023-09-01,19.86,6.66,6.89,6.31
