,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,54.0,76.0,44.0,50.0
1,2014-10-01,54.0,76.0,44.0,50.0
2,2014-11-01,54.0,76.0,44.0,50.0
3,2014-12-01,54.0,76.0,44.0,50.0
4,2015-01-01,53.0,71.0,44.0,50.0
5,2015-02-01,53.0,71.0,44.0,50.0
6,2015-03-01,53.0,71.0,43.0,50.0
7,2015-04-01,53.0,71.0,43.0,50.0
8,2015-05-01,53.0,71.0,43.0,50.0
9,2015-06-01,53.0,71.0,43.0,50.0
10,2015-07-01,53.0,71.0,43.0,50.0
11,2015-08-01,53.0,71.0,43.0,50.0
12,2015-09-01,53.0,71.0,43.0,50.0
13,2015-10-01,53.0,71.0,43.0,50.0
14,2015-11-01,53.0,71.0,43.0,50.0
15,2015-12-01,53.0,71.0,43.0,50.0
16,2016-01-01,52.58,70.65,43.12,49.58
17,2016-02-01,52.58,70.65,43.12,49.58
18,2016-03-01,52.58,70.65,43.12,49.58
19,2016-04-01,50.22,70.65,42.73,44.0
20,2016-05-01,50.22,70.65,42.73,44.0
21,2016-06-01,50.22,70.65,42.73,44.0
22,2016-07-01,50.22,70.65,42.73,44.0
23,2016-08-01,50.22,70.65,42.73,44.0
24,2016-09-01,50.22,70.65,42.73,44.0
25,2016-10-01,50.22,70.65,42.73,44.0
26,2016-11-01,51.4,70.65,43.59,46.21
27,2016-12-01,51.4,70.65,43.59,46.21
28,2017-01-01,45.66,70.65,33.34,40.82
29,2017-02-01,45.66,70.65,33.34,40.82
30,2017-03-01,45.66,70.65,33.34,40.82
31,2017-04-01,45.66,70.65,33.34,40.82
32,2017-05-01,46.34,70.65,35.28,40.82
33,2017-06-01,46.34,70.65,35.28,40.82
34,2017-07-01,46.34,70.65,35.28,40.82
35,2017-08-01,46.34,70.65,35.28,40.82
36,2017-09-01,46.34,70.65,35.28,40.82
37,2017-10-01,47.59,65.95,40.13,42.66
38,2017-11-01,47.59,65.95,40.13,42.66
39,2017-12-01,47.59,65.95,40.13,42.66
40,2018-01-01,47.59,65.95,40.13,42.66
41,2018-02-01,47.22,65.05,39.7,42.66
42,2018-03-01,47.22,65.05,39.7,42.66
43,2018-04-01,47.22,65.05,39.7,42.66
44,2018-05-01,47.22,65.05,39.7,42.66
45,2018-06-01,47.22,65.05,39.7,42.66
46,2018-07-01,47.22,65.05,39.7,42.66
47,2018-08-01,47.18,65.05,39.7,42.56
48,2018-09-01,47.18,65.05,39.7,42.56
49,2018-10-01,47.18,65.05,39.7,42.56
50,2018-11-01,47.18,65.05,39.7,42.56
51,2018-12-01,47.18,65.05,39.7,42.56
52,2019-01-01,46.61,65.05,38.85,41.87
53,2019-02-01,46.57,65.05,38.73,41.87
54,2019-03-01,47.07,67.05,38.73,41.87
55,2019-04-01,47.29,67.95,38.73,41.87
56,2019-05-01,47.29,67.95,38.73,41.87
57,2019-06-01,47.29,67.95,38.73,41.87
58,2019-07-01,47.29,67.95,38.73,41.87
59,2019-08-01,47.29,67.95,38.73,41.87
60,2019-09-01,47.29,67.95,38.73,41.87
61,2019-10-01,47.29,67.95,38.73,41.87
62,2019-11-01,47.29,67.95,38.73,41.87
63,2019-12-01,45.36,66.95,33.48,42.27
64,2020-01-01,25.91,6.49,6.51,12.91
65,2020-02-01,25.91,6.49,6.51,12.91
66,2020-03-01,25.63,6.22,6.51,12.91
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,25.96,6.5,6.38,13.08
71,2020-08-01,25.96,6.5,6.38,13.08
72,2020-09-01,,,,
73,2020-10-01,25.99,6.52,6.38,13.08
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,25.98,6.52,6.38,13.08
77,2021-02-01,25.98,6.52,6.38,13.08
78,2021-03-01,25.74,6.28,6.38,13.08
79,2021-04-01,,,,
80,2021-05-01,24.66,6.28,5.31,13.08
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,20.02,5.82,4.71,9.49
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,19.83,5.63,4.71,9.49
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,19.83,5.63,4.71,9.49
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,20.17,5.63,5.25,9.29
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,20.07,5.63,5.15,9.29
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,19.32,5.3,4.73,9.29
