,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,19.81,7.84,2.49,9.48
65,2020-02-01,19.81,7.84,2.49,9.48
66,2020-03-01,19.81,7.84,2.49,9.48
70,2020-07-01,20.0,7.82,2.03,10.15
71,2020-08-01,20.02,7.82,1.92,10.27
73,2020-10-01,20.38,8.18,1.92,10.27
76,2021-01-01,20.38,8.18,1.92,10.27
77,2021-02-01,20.38,8.18,1.92,10.27
78,2021-03-01,20.38,8.18,1.92,10.27
80,2021-05-01,20.46,8.27,1.92,10.27
84,2021-09-01,26.25,7.58,5.57,13.1
89,2022-02-01,26.38,7.71,5.57,13.1
92,2022-05-01,26.38,7.71,5.57,13.1
95,2022-08-01,26.53,7.86,5.57,13.1
108,2023-09-01,24.72,7.95,6.05,10.72
