,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,48.0,51.0,38.0,53.0
1,2014-10-01,48.0,51.0,38.0,53.0
2,2014-11-01,48.0,51.0,38.0,53.0
3,2014-12-01,50.0,51.0,46.0,53.0
4,2015-01-01,50.0,51.0,46.0,53.0
5,2015-02-01,50.0,51.0,46.0,53.0
6,2015-03-01,50.0,51.0,45.0,53.0
7,2015-04-01,50.0,51.0,45.0,53.0
8,2015-05-01,50.0,51.0,45.0,53.0
9,2015-06-01,50.0,51.0,45.0,53.0
10,2015-07-01,50.0,51.0,45.0,53.0
11,2015-08-01,50.0,51.0,45.0,53.0
12,2015-09-01,50.0,51.0,45.0,53.0
13,2015-10-01,50.0,51.0,45.0,53.0
14,2015-11-01,50.0,51.0,45.0,53.0
15,2015-12-01,50.0,51.0,45.0,53.0
16,2016-01-01,49.97,51.07,45.33,52.85
17,2016-02-01,49.97,51.07,45.33,52.85
18,2016-03-01,49.97,51.07,45.33,52.85
19,2016-04-01,51.66,53.59,45.75,54.91
20,2016-05-01,51.66,53.59,45.75,54.91
21,2016-06-01,51.66,53.59,45.75,54.91
22,2016-07-01,51.28,53.59,44.5,54.91
23,2016-08-01,50.09,53.59,44.5,51.16
24,2016-09-01,50.09,53.59,44.5,51.16
25,2016-10-01,50.09,53.59,44.5,51.16
26,2016-11-01,50.09,53.59,44.5,51.16
27,2016-12-01,50.09,53.59,44.5,51.16
28,2017-01-01,50.09,53.59,44.5,51.16
29,2017-02-01,50.09,53.59,44.5,51.16
30,2017-03-01,50.09,53.59,44.5,51.16
31,2017-04-01,50.09,53.59,44.5,51.16
32,2017-05-01,50.46,53.59,45.75,51.16
33,2017-06-01,50.46,53.59,45.75,51.16
34,2017-07-01,50.46,53.59,45.75,51.16
35,2017-08-01,50.41,53.59,45.58,51.16
36,2017-09-01,50.41,53.59,45.58,51.16
37,2017-10-01,49.87,50.44,46.33,52.49
38,2017-11-01,49.87,50.44,46.33,52.49
39,2017-12-01,50.66,50.77,48.58,52.49
40,2018-01-01,50.66,50.77,48.58,52.49
41,2018-02-01,50.66,50.77,48.58,52.49
42,2018-03-01,50.66,50.77,48.58,52.49
43,2018-04-01,50.66,50.77,48.58,52.49
44,2018-05-01,50.66,50.77,48.58,52.49
45,2018-06-01,50.66,50.77,48.58,52.49
46,2018-07-01,50.66,50.77,48.58,52.49
47,2018-08-01,50.66,50.77,48.58,52.49
48,2018-09-01,50.66,50.77,48.58,52.49
49,2018-10-01,50.23,49.64,48.58,52.49
50,2018-11-01,50.23,49.64,48.58,52.49
51,2018-12-01,50.23,49.64,48.58,52.49
52,2019-01-01,50.23,49.64,48.58,52.49
53,2019-02-01,50.23,49.64,48.58,52.49
54,2019-03-01,50.11,49.64,48.17,52.49
55,2019-04-01,50.11,49.64,48.17,52.49
56,2019-05-01,50.11,49.64,48.17,52.49
57,2019-06-01,50.11,49.64,48.17,52.49
58,2019-07-01,50.11,49.64,48.17,52.49
59,2019-08-01,50.11,49.64,48.17,52.49
60,2019-09-01,50.11,49.64,48.17,52.49
61,2019-10-01,50.11,49.64,48.17,52.49
62,2019-11-01,50.18,49.82,48.17,52.49
63,2019-12-01,49.66,49.16,47.27,52.49
64,2020-01-01,26.68,15.83,1.71,9.14
65,2020-02-01,26.68,15.83,1.71,9.14
66,2020-03-01,26.68,15.83,1.71,9.14
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,26.16,14.76,1.71,9.69
71,2020-08-01,26.16,14.76,1.71,9.69
72,2020-09-01,,,,
73,2020-10-01,26.19,14.79,1.71,9.69
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,26.19,14.79,1.71,9.69
77,2021-02-01,26.1,14.99,1.71,9.41
78,2021-03-01,26.1,14.99,1.71,9.41
79,2021-04-01,,,,
80,2021-05-01,24.44,14.05,1.88,8.51
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,24.24,13.85,1.88,8.51
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,24.24,13.85,1.88,8.51
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,24.31,13.74,1.8,8.78
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,25.62,12.83,1.82,10.97
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,25.62,12.83,1.82,10.97
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,25.61,12.88,1.76,10.97
