,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,22.11,6.68,6.48,8.94
65,2020-02-01,22.11,6.68,6.48,8.94
66,2020-03-01,21.8,6.37,6.48,8.94
70,2020-07-01,21.82,6.22,6.65,8.94
71,2020-08-01,22.1,5.94,6.79,9.37
73,2020-10-01,22.12,5.96,6.79,9.37
76,2021-01-01,22.12,5.96,6.79,9.37
77,2021-02-01,22.12,5.96,6.79,9.37
78,2021-03-01,22.12,5.96,6.79,9.37
80,2021-05-01,21.71,5.71,6.64,9.37
84,2021-09-01,20.75,5.3,6.64,8.81
89,2022-02-01,22.12,6.72,6.06,9.35
92,2022-05-01,22.12,6.72,6.06,9.35
95,2022-08-01,22.12,6.72,6.06,9.35
108,2023-09-01,26.17,6.54,8.32,11.31
