,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,17.07,6.78,2.83,7.45
65,2020-02-01,17.07,6.78,2.83,7.45
66,2020-03-01,16.75,6.47,2.83,7.45
70,2020-07-01,16.6,6.32,2.83,7.45
71,2020-08-01,16.6,6.32,2.83,7.45
73,2020-10-01,14.7,6.15,1.91,6.64
76,2021-01-01,14.7,6.15,1.91,6.64
77,2021-02-01,14.52,5.97,1.91,6.64
78,2021-03-01,14.52,5.97,1.91,6.64
80,2021-05-01,14.52,5.97,1.91,6.64
84,2021-09-01,14.55,6.21,2.13,6.21
89,2022-02-01,14.59,6.24,2.13,6.21
92,2022-05-01,14.59,6.24,2.13,6.21
95,2022-08-01,14.59,6.24,2.13,6.21
108,2023-09-01,17.8,9.19,2.13,6.48
