,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,70.0,70.0,75.0,64.0
1,2014-10-01,67.0,70.0,73.0,63.0
2,2014-11-01,69.0,70.0,73.0,63.0
3,2014-12-01,69.0,70.0,73.0,63.0
4,2015-01-01,69.0,70.0,73.0,63.0
5,2015-02-01,69.0,70.0,73.0,63.0
6,2015-03-01,68.0,70.0,72.0,63.0
7,2015-04-01,68.0,70.0,72.0,63.0
8,2015-05-01,68.0,70.0,72.0,63.0
9,2015-06-01,68.0,70.0,72.0,63.0
10,2015-07-01,68.0,70.0,72.0,63.0
11,2015-08-01,68.0,70.0,72.0,63.0
12,2015-09-01,68.0,70.0,72.0,63.0
13,2015-10-01,68.0,70.0,72.0,63.0
14,2015-11-01,68.0,70.0,72.0,63.0
15,2015-12-01,68.0,70.0,72.0,63.0
16,2016-01-01,68.32,70.44,71.8,62.82
17,2016-02-01,70.92,65.94,72.92,72.17
18,2016-03-01,70.92,65.94,72.92,72.17
19,2016-04-01,70.09,65.95,73.61,69.02
20,2016-05-01,70.09,65.95,73.61,69.02
21,2016-06-01,70.04,65.95,73.61,68.87
22,2016-07-01,69.9,65.95,73.25,68.87
23,2016-08-01,69.9,65.95,73.25,68.87
24,2016-09-01,69.9,65.95,73.25,68.87
25,2016-10-01,69.9,65.95,73.25,68.87
26,2016-11-01,69.9,65.95,73.25,68.87
27,2016-12-01,71.38,65.95,73.02,73.39
28,2017-01-01,70.08,65.95,69.77,73.38
29,2017-02-01,70.08,65.95,69.77,73.38
30,2017-03-01,70.08,65.95,69.77,73.38
31,2017-04-01,70.08,65.95,69.77,73.38
32,2017-05-01,70.08,65.95,69.77,73.38
33,2017-06-01,70.08,65.95,69.77,73.38
34,2017-07-01,70.08,65.95,69.77,73.38
35,2017-08-01,70.04,65.79,69.77,73.38
36,2017-09-01,70.04,65.79,69.77,73.38
37,2017-10-01,69.81,64.49,70.06,73.32
38,2017-11-01,69.81,64.49,70.06,73.32
39,2017-12-01,69.81,64.49,70.06,73.32
40,2018-01-01,69.81,64.49,70.06,73.32
41,2018-02-01,69.81,64.49,70.06,73.32
42,2018-03-01,69.81,64.49,70.06,73.32
43,2018-04-01,70.8,64.49,72.55,73.32
44,2018-05-01,70.8,64.49,72.55,73.32
45,2018-06-01,70.8,64.49,72.55,73.32
46,2018-07-01,70.8,64.49,72.55,73.32
47,2018-08-01,70.8,64.49,72.55,73.32
48,2018-09-01,69.3,64.49,68.78,73.32
49,2018-10-01,68.34,69.79,71.15,64.09
50,2018-11-01,68.34,69.79,71.15,64.09
51,2018-12-01,68.34,69.79,71.15,64.09
52,2019-01-01,68.34,69.79,71.15,64.09
53,2019-02-01,68.34,69.79,71.15,64.09
54,2019-03-01,68.34,69.79,71.15,64.09
55,2019-04-01,68.34,69.79,71.15,64.09
56,2019-05-01,67.34,69.79,68.66,64.09
57,2019-06-01,67.34,69.79,68.66,64.09
58,2019-07-01,67.65,69.89,69.37,64.09
59,2019-08-01,67.65,69.89,69.37,64.09
60,2019-09-01,67.65,69.89,69.37,64.09
61,2019-10-01,67.65,69.89,69.37,64.09
62,2019-11-01,67.65,69.89,69.37,64.09
63,2019-12-01,67.18,69.09,68.68,64.09
64,2020-01-01,18.82,6.36,3.35,9.11
65,2020-02-01,18.82,6.36,3.35,9.11
66,2020-03-01,18.82,6.36,3.35,9.11
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,19.1,6.36,3.46,9.28
71,2020-08-01,19.11,6.37,3.46,9.28
72,2020-09-01,,,,
73,2020-10-01,17.83,5.95,3.72,8.17
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,17.83,5.95,3.72,8.17
77,2021-02-01,17.83,5.95,3.72,8.17
78,2021-03-01,17.83,5.95,3.72,8.17
79,2021-04-01,,,,
80,2021-05-01,17.83,5.95,3.72,8.17
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,19.36,6.06,5.8,7.5
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,19.36,6.06,5.8,7.5
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,19.36,6.06,5.8,7.5
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,19.36,6.06,5.8,7.5
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,19.3,5.94,5.62,7.74
