,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,26.0,10.22,0.06,15.72
65,2020-02-01,26.0,10.22,0.06,15.72
66,2020-03-01,26.46,10.3,0.06,16.09
70,2020-07-01,26.55,10.39,0.06,16.09
71,2020-08-01,26.55,10.39,0.06,16.09
73,2020-10-01,26.57,10.42,0.06,16.09
76,2021-01-01,23.15,9.63,0.06,13.46
77,2021-02-01,23.15,9.63,0.06,13.46
78,2021-03-01,23.15,9.63,0.06,13.46
80,2021-05-01,23.22,9.71,0.05,13.46
84,2021-09-01,23.22,9.71,0.05,13.46
89,2022-02-01,23.22,9.71,0.05,13.46
92,2022-05-01,22.62,9.22,0.07,13.33
95,2022-08-01,22.62,9.22,0.07,13.33
108,2023-09-01,22.5,10.09,0.13,12.28
