,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,45.0,67.0,32.0,43.0
1,2014-10-01,45.0,67.0,32.0,43.0
2,2014-11-01,45.0,67.0,32.0,43.0
3,2014-12-01,45.0,67.0,32.0,43.0
4,2015-01-01,45.0,67.0,32.0,43.0
5,2015-02-01,45.0,67.0,32.0,43.0
6,2015-03-01,45.0,67.0,32.0,43.0
7,2015-04-01,45.0,67.0,32.0,43.0
8,2015-05-01,45.0,67.0,32.0,43.0
9,2015-06-01,45.0,67.0,32.0,43.0
10,2015-07-01,45.0,67.0,32.0,43.0
11,2015-08-01,45.0,67.0,32.0,43.0
12,2015-09-01,45.0,67.0,32.0,43.0
13,2015-10-01,45.0,67.0,32.0,43.0
14,2015-11-01,45.0,67.0,32.0,43.0
15,2015-12-01,45.0,67.0,33.0,43.0
16,2016-01-01,44.68,66.75,32.5,42.85
17,2016-02-01,44.68,66.75,32.5,42.85
18,2016-03-01,44.68,66.75,32.5,42.85
19,2016-04-01,43.69,66.75,32.5,40.0
20,2016-05-01,43.69,66.75,32.5,40.0
21,2016-06-01,43.69,66.75,32.5,40.0
22,2016-07-01,43.69,66.75,32.5,40.0
23,2016-08-01,43.69,66.75,32.5,40.0
24,2016-09-01,43.69,66.75,32.5,40.0
25,2016-10-01,43.69,66.75,32.5,40.0
26,2016-11-01,43.69,66.75,32.5,40.0
27,2016-12-01,43.69,66.75,32.5,40.0
28,2017-01-01,43.69,66.75,32.5,40.0
29,2017-02-01,43.69,66.75,32.5,40.0
30,2017-03-01,43.69,66.75,32.5,40.0
31,2017-04-01,42.84,57.75,36.0,40.0
32,2017-05-01,42.84,57.75,36.0,40.0
33,2017-06-01,42.84,57.75,36.0,40.0
34,2017-07-01,42.84,57.75,36.0,40.0
35,2017-08-01,42.84,57.75,36.0,40.0
36,2017-09-01,42.84,57.75,36.0,40.0
37,2017-10-01,43.42,60.1,36.0,40.0
38,2017-11-01,43.42,60.1,36.0,40.0
39,2017-12-01,43.43,60.1,36.0,40.0
40,2018-01-01,43.43,60.1,36.0,40.0
41,2018-02-01,43.43,60.1,36.0,40.0
42,2018-03-01,43.43,60.1,36.0,40.0
43,2018-04-01,43.43,60.1,36.0,40.0
44,2018-05-01,43.43,60.1,36.0,40.0
45,2018-06-01,43.43,60.1,36.0,40.0
46,2018-07-01,43.43,60.1,36.0,40.0
47,2018-08-01,43.43,60.1,36.0,40.0
48,2018-09-01,43.43,60.1,36.0,40.0
49,2018-10-01,43.2,59.2,36.0,40.0
50,2018-11-01,43.2,59.2,36.0,40.0
51,2018-12-01,43.2,59.2,36.0,40.0
52,2019-01-01,43.2,59.2,36.0,40.0
53,2019-02-01,43.2,59.2,36.0,40.0
54,2019-03-01,43.2,59.2,36.0,40.0
55,2019-04-01,43.2,59.2,36.0,40.0
56,2019-05-01,43.2,59.2,36.0,40.0
57,2019-06-01,45.77,55.2,42.25,43.06
58,2019-07-01,45.77,55.2,42.25,43.06
59,2019-08-01,45.77,55.2,42.25,43.06
60,2019-09-01,45.77,55.2,42.25,43.06
61,2019-10-01,45.77,55.2,42.25,43.06
62,2019-11-01,45.77,55.2,42.25,43.06
63,2019-12-01,45.73,54.1,43.03,42.83
64,2020-01-01,24.03,8.05,4.52,11.46
65,2020-02-01,24.03,8.05,4.52,11.46
66,2020-03-01,24.03,8.05,4.52,11.46
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,23.41,7.43,4.52,11.46
71,2020-08-01,23.41,7.43,4.52,11.46
72,2020-09-01,,,,
73,2020-10-01,23.43,7.45,4.52,11.46
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,23.01,7.12,4.13,11.76
77,2021-02-01,23.01,7.12,4.13,11.76
78,2021-03-01,23.01,7.12,4.13,11.76
79,2021-04-01,,,,
80,2021-05-01,22.71,6.82,4.13,11.76
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,22.71,6.82,4.13,11.76
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,22.71,6.82,4.13,11.76
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,18.15,5.47,1.61,11.07
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,18.15,5.47,1.61,11.07
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,18.05,5.41,1.61,11.03
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,16.03,5.59,1.48,8.96
