,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,18.19,7.31,5.25,5.62
65,2020-02-01,18.19,7.31,5.25,5.62
66,2020-03-01,18.19,7.31,5.25,5.62
70,2020-07-01,18.28,7.4,5.25,5.62
71,2020-08-01,18.28,7.4,5.25,5.62
73,2020-10-01,18.28,7.4,5.25,5.62
76,2021-01-01,16.4,6.44,5.14,4.82
77,2021-02-01,16.4,6.44,5.14,4.82
78,2021-03-01,16.4,6.44,5.14,4.82
80,2021-05-01,16.4,6.44,5.14,4.82
84,2021-09-01,16.4,6.44,5.14,4.82
89,2022-02-01,15.85,7.25,4.47,4.13
92,2022-05-01,15.87,7.27,4.47,4.13
95,2022-08-01,15.87,7.27,4.47,4.13
100,2023-01-01,15.94,7.34,4.47,4.13
108,2023-09-01,16.09,8.17,4.0,3.93
