,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,61.0,59.0,68.0,57.0
1,2014-10-01,61.0,59.0,68.0,57.0
2,2014-11-01,61.0,59.0,68.0,57.0
3,2014-12-01,61.0,59.0,68.0,57.0
4,2015-01-01,61.0,59.0,68.0,57.0
5,2015-02-01,61.0,59.0,68.0,57.0
6,2015-03-01,62.0,59.0,68.0,59.0
7,2015-04-01,62.0,59.0,68.0,59.0
8,2015-05-01,62.0,59.0,68.0,59.0
9,2015-06-01,62.0,59.0,68.0,59.0
10,2015-07-01,62.0,59.0,68.0,59.0
11,2015-08-01,62.0,59.0,68.0,59.0
12,2015-09-01,62.0,59.0,68.0,59.0
13,2015-10-01,62.0,59.0,67.0,59.0
14,2015-11-01,62.0,59.0,67.0,59.0
15,2015-12-01,62.0,59.0,68.0,59.0
16,2016-01-01,61.62,59.24,67.5,59.02
17,2016-02-01,61.62,59.24,67.5,59.02
18,2016-03-01,61.62,59.24,67.5,59.02
19,2016-04-01,62.11,72.44,68.33,52.22
20,2016-05-01,62.11,72.44,68.33,52.22
21,2016-06-01,62.07,72.27,68.33,52.22
22,2016-07-01,62.32,72.27,69.17,52.22
23,2016-08-01,62.32,72.27,69.17,52.22
24,2016-09-01,62.32,72.27,69.17,52.22
25,2016-10-01,62.32,72.27,69.17,52.22
26,2016-11-01,62.32,72.27,69.17,52.22
27,2016-12-01,62.32,72.27,69.17,52.22
28,2017-01-01,60.22,72.27,69.17,47.56
29,2017-02-01,60.22,72.27,69.17,47.56
30,2017-03-01,60.26,72.43,69.17,47.56
31,2017-04-01,66.6,70.68,69.17,62.63
32,2017-05-01,65.85,70.68,66.67,62.63
33,2017-06-01,65.85,70.68,66.67,62.63
34,2017-07-01,65.85,70.68,66.67,62.63
35,2017-08-01,65.85,70.68,66.67,62.63
36,2017-09-01,65.85,70.68,66.67,62.63
37,2017-10-01,67.17,67.18,67.5,66.94
38,2017-11-01,67.17,67.18,67.5,66.94
39,2017-12-01,67.17,67.18,67.5,66.94
40,2018-01-01,66.77,67.18,67.5,66.06
41,2018-02-01,66.77,67.18,67.5,66.06
42,2018-03-01,66.77,67.18,67.5,66.06
43,2018-04-01,66.77,67.18,67.5,66.06
44,2018-05-01,72.28,71.18,75.33,70.87
45,2018-06-01,72.28,71.18,75.33,70.87
46,2018-07-01,72.28,71.18,75.33,70.87
47,2018-08-01,72.28,71.18,75.33,70.87
48,2018-09-01,72.28,71.18,75.33,70.87
49,2018-10-01,72.28,71.18,75.33,70.87
50,2018-11-01,72.08,70.38,75.33,70.87
51,2018-12-01,72.11,70.48,75.33,70.87
52,2019-01-01,72.11,70.48,75.33,70.87
53,2019-02-01,72.11,70.48,75.33,70.87
54,2019-03-01,72.31,69.28,77.0,70.87
55,2019-04-01,72.35,69.45,77.0,70.87
56,2019-05-01,71.75,69.45,77.0,69.53
57,2019-06-01,71.75,69.45,77.0,69.53
58,2019-07-01,71.75,69.45,77.0,69.53
59,2019-08-01,71.75,69.45,77.0,69.53
60,2019-09-01,71.75,69.45,77.0,69.53
61,2019-10-01,23.04,6.22,6.42,10.4
62,2019-11-01,23.58,5.95,7.51,10.11
63,2019-12-01,23.6,5.91,7.54,10.15
64,2020-01-01,23.85,5.99,7.7,10.16
65,2020-02-01,23.85,5.93,7.74,10.18
66,2020-03-01,23.66,5.95,7.66,10.05
67,2020-04-01,23.55,5.94,7.63,9.98
68,2020-05-01,23.69,6.0,7.64,10.06
69,2020-06-01,23.72,5.94,7.69,10.09
70,2020-07-01,11.22,4.25,0.47,6.49
71,2020-08-01,11.22,4.25,0.47,6.49
72,2020-09-01,,,,
73,2020-10-01,23.1,5.74,7.26,10.09
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,11.23,4.27,0.47,6.49
77,2021-02-01,11.23,4.27,0.47,6.49
78,2021-03-01,11.23,4.27,0.47,6.49
79,2021-04-01,,,,
80,2021-05-01,11.35,4.39,0.47,6.49
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,11.25,4.25,0.44,6.56
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,13.31,4.43,2.34,6.54
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,13.18,4.46,2.34,6.39
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,13.18,4.46,2.34,6.39
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,14.88,5.39,2.01,7.48
