,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,14.11,6.92,0.6,6.59
65,2020-02-01,13.74,6.55,0.6,6.59
66,2020-03-01,13.74,6.55,0.6,6.59
70,2020-07-01,12.08,5.87,0.54,5.68
71,2020-08-01,12.08,5.87,0.54,5.68
73,2020-10-01,12.35,5.87,0.54,5.94
76,2021-01-01,12.67,6.19,0.54,5.94
77,2021-02-01,12.67,6.19,0.54,5.94
78,2021-03-01,12.55,6.08,0.54,5.94
80,2021-05-01,12.45,6.08,0.54,5.84
84,2021-09-01,11.42,5.83,0.03,5.56
89,2022-02-01,11.83,6.21,0.03,5.59
92,2022-05-01,11.82,6.2,0.03,5.59
95,2022-08-01,12.07,6.45,0.03,5.59
108,2023-09-01,13.87,6.51,0.45,6.9
