,timestamp,esgScore,governanceScore,environmentScore,socialScore
42,2020-01-01,25.72,8.48,2.98,14.27
43,2020-02-01,25.72,8.48,2.98,14.27
44,2020-03-01,25.64,8.4,2.98,14.27
48,2020-07-01,26.82,8.32,3.67,14.83
49,2020-08-01,26.55,8.04,3.67,14.83
51,2020-10-01,26.57,8.07,3.67,14.83
54,2021-01-01,26.57,8.07,3.67,14.83
55,2021-02-01,26.57,8.07,3.67,14.83
56,2021-03-01,26.57,8.07,3.67,14.83
58,2021-05-01,26.57,8.07,3.67,14.83
62,2021-09-01,26.9,8.4,3.67,14.83
67,2022-02-01,26.58,8.12,5.35,13.12
70,2022-05-01,26.68,8.12,5.45,13.12
73,2022-08-01,26.68,8.12,5.45,13.12
78,2023-01-01,26.94,8.38,5.45,13.12
86,2023-09-01,21.91,7.71,4.86,9.34
