,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,66.0,76.0,64.0,62.0
1,2014-10-01,66.0,76.0,64.0,62.0
2,2014-11-01,66.0,76.0,64.0,62.0
3,2014-12-01,64.0,76.0,61.0,59.0
4,2015-01-01,68.0,78.0,71.0,58.0
5,2015-02-01,67.0,78.0,71.0,57.0
6,2015-03-01,66.0,78.0,67.0,57.0
7,2015-04-01,66.0,78.0,67.0,57.0
8,2015-05-01,66.0,78.0,67.0,57.0
9,2015-06-01,66.0,78.0,67.0,57.0
10,2015-07-01,66.0,78.0,67.0,57.0
11,2015-08-01,65.0,78.0,67.0,54.0
12,2015-09-01,65.0,78.0,67.0,54.0
13,2015-10-01,65.0,78.0,67.0,54.0
14,2015-11-01,65.0,78.0,67.0,54.0
15,2015-12-01,65.0,77.0,68.0,54.0
16,2016-01-01,64.76,77.44,67.65,54.29
17,2016-02-01,64.76,77.44,67.65,54.29
18,2016-03-01,64.76,77.44,67.65,54.29
19,2016-04-01,63.52,77.45,67.66,51.2
20,2016-05-01,63.52,77.45,67.66,51.2
21,2016-06-01,63.52,77.45,67.66,51.2
22,2016-07-01,63.52,77.45,67.66,51.2
23,2016-08-01,63.52,77.45,67.66,51.2
24,2016-09-01,63.52,77.45,67.66,51.2
25,2016-10-01,63.52,77.45,67.66,51.2
26,2016-11-01,63.52,77.45,67.66,51.2
27,2016-12-01,63.52,77.45,67.66,51.2
28,2017-01-01,59.82,74.95,59.62,50.53
29,2017-02-01,59.82,74.95,59.62,50.53
30,2017-03-01,59.82,74.95,59.62,50.53
31,2017-04-01,59.06,74.95,59.62,48.64
32,2017-05-01,57.36,74.95,54.77,48.64
33,2017-06-01,57.32,74.78,54.77,48.64
34,2017-07-01,57.36,74.95,54.77,48.64
35,2017-08-01,57.32,74.78,54.77,48.64
36,2017-09-01,57.32,74.78,54.77,48.64
37,2017-10-01,55.25,73.98,55.12,43.67
38,2017-11-01,55.25,73.98,55.12,43.67
39,2017-12-01,55.25,73.98,55.12,43.67
40,2018-01-01,55.25,73.98,55.12,43.67
41,2018-02-01,55.25,73.98,55.12,43.67
42,2018-03-01,55.25,73.98,55.12,43.67
43,2018-04-01,55.25,73.98,55.12,43.67
44,2018-05-01,55.25,73.98,55.12,43.67
45,2018-06-01,55.25,73.98,55.12,43.67
46,2018-07-01,55.25,73.98,55.12,43.67
47,2018-08-01,55.25,73.98,55.12,43.67
48,2018-09-01,55.25,73.98,55.12,43.67
49,2018-10-01,55.18,73.68,55.12,43.67
50,2018-11-01,55.18,73.68,55.12,43.67
51,2018-12-01,55.18,73.68,55.12,43.67
52,2019-01-01,55.18,73.68,55.12,43.67
53,2019-02-01,52.23,67.68,51.56,43.15
54,2019-03-01,54.9,67.68,59.19,43.15
55,2019-04-01,54.9,67.68,59.19,43.15
56,2019-05-01,55.8,67.68,61.76,43.15
57,2019-06-01,55.8,67.68,61.76,43.15
58,2019-07-01,55.8,67.68,61.76,43.15
59,2019-08-01,55.8,67.68,61.76,43.15
60,2019-09-01,55.8,67.68,61.76,43.15
61,2019-10-01,55.55,66.68,61.76,43.15
62,2019-11-01,55.55,66.68,61.76,43.15
63,2019-12-01,22.42,3.26,6.79,12.37
64,2020-01-01,22.42,3.26,6.79,12.37
65,2020-02-01,22.42,3.26,6.79,12.37
66,2020-03-01,22.42,3.26,6.79,12.37
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,22.57,3.72,6.48,12.37
71,2020-08-01,22.57,3.72,6.48,12.37
72,2020-09-01,,,,
73,2020-10-01,22.59,3.74,6.48,12.37
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,18.31,3.61,5.31,9.38
77,2021-02-01,18.31,3.61,5.31,9.38
78,2021-03-01,18.31,3.61,5.31,9.38
79,2021-04-01,,,,
80,2021-05-01,18.74,3.61,5.75,9.38
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,18.37,3.62,5.75,8.99
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,20.25,3.61,7.45,9.19
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,20.25,3.61,7.45,9.19
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,20.09,3.44,7.45,9.19
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,21.91,4.84,7.04,10.03
