,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,25.51,7.58,5.48,12.45
65,2020-02-01,25.51,7.58,5.48,12.45
66,2020-03-01,25.35,7.42,5.48,12.45
70,2020-07-01,25.35,7.42,5.48,12.45
71,2020-08-01,25.35,7.42,5.48,12.45
73,2020-10-01,25.38,7.44,5.48,12.45
76,2021-01-01,25.38,7.44,5.48,12.45
77,2021-02-01,25.23,7.35,5.44,12.45
78,2021-03-01,25.49,7.61,5.44,12.45
80,2021-05-01,21.21,7.06,4.54,9.61
84,2021-09-01,21.21,7.06,4.54,9.61
89,2022-02-01,21.41,7.26,4.54,9.61
92,2022-05-01,21.41,7.26,4.54,9.61
95,2022-08-01,18.81,6.44,3.21,9.17
100,2023-01-01,18.25,5.88,3.21,9.17
108,2023-09-01,18.08,5.88,3.03,9.17
