,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,65.0,64.0,67.0,65.0
1,2014-10-01,65.0,64.0,67.0,65.0
2,2014-11-01,65.0,64.0,67.0,65.0
3,2014-12-01,65.0,64.0,67.0,65.0
4,2015-01-01,68.0,67.0,70.0,68.0
5,2015-02-01,68.0,67.0,70.0,68.0
6,2015-03-01,68.0,67.0,69.0,68.0
7,2015-04-01,68.0,67.0,69.0,68.0
8,2015-05-01,68.0,67.0,69.0,68.0
9,2015-06-01,68.0,67.0,69.0,68.0
10,2015-07-01,68.0,67.0,69.0,68.0
11,2015-08-01,71.0,67.0,69.0,74.0
12,2015-09-01,70.0,67.0,69.0,71.0
13,2015-10-01,69.0,66.0,69.0,71.0
14,2015-11-01,69.0,66.0,69.0,71.0
15,2015-12-01,70.0,67.0,69.0,71.0
16,2016-01-01,69.52,66.59,69.16,71.38
17,2016-02-01,69.52,66.59,69.16,71.38
18,2016-03-01,69.45,66.59,69.16,71.23
19,2016-04-01,67.02,66.59,69.17,65.83
20,2016-05-01,67.02,66.59,69.17,65.83
21,2016-06-01,67.02,66.59,69.17,65.83
22,2016-07-01,66.27,66.59,66.67,65.83
23,2016-08-01,66.27,66.59,66.67,65.83
24,2016-09-01,66.27,66.59,66.67,65.83
25,2016-10-01,66.27,66.59,66.67,65.83
26,2016-11-01,64.27,58.59,66.67,65.83
27,2016-12-01,64.27,58.59,66.67,65.83
28,2017-01-01,60.92,58.59,66.67,58.38
29,2017-02-01,60.92,58.59,66.67,58.38
30,2017-03-01,60.92,58.59,66.67,58.38
31,2017-04-01,60.92,58.59,66.67,58.38
32,2017-05-01,61.17,58.59,67.5,58.38
33,2017-06-01,61.17,58.59,67.5,58.38
34,2017-07-01,61.17,58.59,67.5,58.38
35,2017-08-01,61.17,58.59,67.5,58.38
36,2017-09-01,61.17,58.59,67.5,58.38
37,2017-10-01,60.49,54.89,68.33,58.38
38,2017-11-01,60.49,54.89,68.33,58.38
39,2017-12-01,60.49,54.89,68.33,58.38
40,2018-01-01,61.02,55.29,69.17,58.77
41,2018-02-01,61.02,55.29,69.17,58.77
42,2018-03-01,61.02,55.29,69.17,58.77
43,2018-04-01,61.02,55.29,69.17,58.77
44,2018-05-01,61.02,55.29,69.17,58.77
45,2018-06-01,61.02,55.29,69.17,58.77
46,2018-07-01,61.02,55.29,69.17,58.77
47,2018-08-01,61.02,55.29,69.17,58.77
48,2018-09-01,61.02,55.29,69.17,58.77
49,2018-10-01,61.02,55.29,69.17,58.77
50,2018-11-01,61.02,55.29,69.17,58.77
51,2018-12-01,63.57,56.35,69.67,63.51
52,2019-01-01,63.57,56.35,69.67,63.51
53,2019-02-01,63.57,56.35,69.67,63.51
54,2019-03-01,63.57,56.35,69.67,63.51
55,2019-04-01,63.57,56.35,69.67,63.51
56,2019-05-01,64.77,61.15,69.67,63.51
57,2019-06-01,64.77,61.15,69.67,63.51
58,2019-07-01,64.77,61.15,69.67,63.51
59,2019-08-01,64.74,61.05,69.67,63.51
60,2019-09-01,64.74,61.05,69.67,63.51
61,2019-10-01,64.74,61.05,69.67,63.51
62,2019-11-01,64.74,61.05,69.67,63.51
63,2019-12-01,63.28,62.05,64.61,63.09
64,2020-01-01,19.17,8.5,1.02,9.65
65,2020-02-01,19.17,8.5,1.02,9.65
66,2020-03-01,19.17,8.5,1.02,9.65
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,21.67,7.83,1.04,12.81
71,2020-08-01,21.67,7.83,1.04,12.81
72,2020-09-01,,,,
73,2020-10-01,21.7,7.85,1.04,12.81
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,21.7,7.85,1.04,12.81
77,2021-02-01,21.7,7.85,1.04,12.81
78,2021-03-01,21.7,7.85,1.04,12.81
79,2021-04-01,,,,
80,2021-05-01,17.74,6.2,1.11,10.43
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,,,,
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,17.47,5.92,1.11,10.43
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,17.2,5.66,1.11,10.43
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,14.38,5.63,1.11,7.64
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,14.66,5.91,1.11,7.64
