,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,25.85,5.33,8.74,11.79
65,2020-02-01,25.89,5.37,8.74,11.79
66,2020-03-01,25.89,5.37,8.74,11.79
70,2020-07-01,23.82,4.68,8.3,10.84
71,2020-08-01,23.82,4.68,8.3,10.84
73,2020-10-01,23.84,4.7,8.3,10.84
76,2021-01-01,23.91,4.77,8.3,10.84
77,2021-02-01,23.91,4.77,8.3,10.84
78,2021-03-01,24.41,4.6,8.18,11.64
80,2021-05-01,24.41,4.6,8.18,11.64
84,2021-09-01,26.46,5.15,9.48,11.83
89,2022-02-01,26.46,5.15,9.48,11.83
92,2022-05-01,26.46,5.15,9.48,11.83
95,2022-08-01,26.13,5.15,9.52,11.46
108,2023-09-01,30.26,5.8,9.88,14.57
