,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,32.92,7.98,9.44,15.51
65,2020-02-01,32.92,7.98,9.44,15.51
66,2020-03-01,32.92,7.98,9.44,15.51
70,2020-07-01,33.05,7.98,9.57,15.51
71,2020-08-01,32.59,7.52,9.57,15.51
73,2020-10-01,28.37,6.44,7.79,14.14
76,2021-01-01,28.35,6.41,7.79,14.14
77,2021-02-01,28.35,6.41,7.79,14.14
78,2021-03-01,28.35,6.41,7.79,14.14
80,2021-05-01,28.35,6.41,7.79,14.14
84,2021-09-01,28.37,6.44,7.79,14.14
89,2022-02-01,25.09,5.59,7.12,12.38
92,2022-05-01,25.09,5.59,7.12,12.38
95,2022-08-01,25.09,5.59,7.12,12.38
100,2023-01-01,25.27,5.77,7.12,12.38
108,2023-09-01,25.88,5.42,7.98,12.48
