,timestamp,esgScore,governanceScore,environmentScore,socialScore
39,2020-01-01,27.63,7.05,6.1,14.48
40,2020-02-01,27.68,7.05,6.0,14.62
41,2020-03-01,27.68,7.05,6.0,14.62
45,2020-07-01,26.68,6.56,5.42,14.7
46,2020-08-01,26.68,6.56,5.42,14.7
48,2020-10-01,26.71,6.59,5.42,14.7
51,2021-01-01,26.71,6.59,5.42,14.7
52,2021-02-01,26.76,6.59,5.42,14.75
53,2021-03-01,26.76,6.59,5.42,14.75
55,2021-05-01,26.26,6.74,4.77,14.75
59,2021-09-01,26.86,6.81,5.07,14.98
64,2022-02-01,31.31,6.91,7.72,16.68
67,2022-05-01,31.31,6.91,7.72,16.68
70,2022-08-01,31.02,6.62,7.73,16.68
75,2023-01-01,31.02,6.62,7.73,16.68
83,2023-09-01,29.19,6.34,10.65,12.2
