,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,33.99,7.19,16.23,10.56
65,2020-02-01,33.99,7.19,16.23,10.56
66,2020-03-01,34.06,6.71,15.52,11.84
70,2020-07-01,33.26,5.82,15.6,11.84
71,2020-08-01,32.95,5.63,15.6,11.72
73,2020-10-01,32.98,5.65,15.6,11.72
76,2021-01-01,32.98,5.65,15.6,11.72
77,2021-02-01,32.98,5.65,15.6,11.72
78,2021-03-01,32.96,5.78,15.61,11.57
80,2021-05-01,28.76,5.2,15.06,8.49
84,2021-09-01,28.5,4.94,15.06,8.49
89,2022-02-01,27.72,4.65,14.49,8.57
92,2022-05-01,27.63,4.56,14.49,8.57
95,2022-08-01,27.63,4.56,14.49,8.57
108,2023-09-01,27.01,4.81,11.52,10.68
