,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,34.16,6.13,16.88,11.15
65,2020-02-01,34.16,6.13,16.88,11.15
66,2020-03-01,34.42,6.13,17.14,11.15
70,2020-07-01,33.25,7.1,17.47,8.68
71,2020-08-01,33.25,7.1,17.47,8.68
73,2020-10-01,33.51,7.12,17.7,8.68
76,2021-01-01,33.89,7.51,17.7,8.68
77,2021-02-01,33.89,7.51,17.7,8.68
78,2021-03-01,33.89,7.51,17.7,8.68
80,2021-05-01,31.73,7.51,15.54,8.68
84,2021-09-01,31.67,7.74,15.61,8.32
89,2022-02-01,34.41,7.7,17.74,8.97
92,2022-05-01,34.39,7.86,17.75,8.78
95,2022-08-01,34.64,7.86,18.0,8.78
100,2023-01-01,36.69,7.83,20.71,8.15
108,2023-09-01,33.76,7.53,17.67,8.56
