,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,64.0,68.0,61.0,64.0
1,2014-10-01,64.0,68.0,61.0,64.0
2,2014-11-01,64.0,68.0,61.0,64.0
3,2014-12-01,64.0,68.0,61.0,64.0
4,2015-01-01,64.0,68.0,61.0,64.0
5,2015-02-01,64.0,68.0,61.0,64.0
6,2015-03-01,65.0,68.0,63.0,64.0
7,2015-04-01,64.0,68.0,63.0,64.0
8,2015-05-01,64.0,68.0,63.0,64.0
9,2015-06-01,64.0,68.0,63.0,64.0
10,2015-07-01,64.0,68.0,63.0,64.0
11,2015-08-01,64.0,68.0,63.0,64.0
12,2015-09-01,64.0,68.0,63.0,63.0
13,2015-10-01,64.0,68.0,63.0,63.0
14,2015-11-01,64.0,68.0,63.0,63.0
15,2015-12-01,64.0,68.0,63.0,63.0
16,2016-01-01,64.07,67.82,63.0,62.7
17,2016-02-01,69.12,67.62,72.33,67.81
18,2016-03-01,69.12,67.62,72.33,67.81
19,2016-04-01,65.65,64.58,73.17,61.24
20,2016-05-01,65.65,64.58,73.17,61.24
21,2016-06-01,65.63,64.58,73.1,61.24
22,2016-07-01,64.63,64.58,69.77,61.24
23,2016-08-01,64.63,64.58,69.77,61.24
24,2016-09-01,64.63,64.58,69.77,61.24
25,2016-10-01,64.63,64.58,69.77,61.24
26,2016-11-01,64.63,64.58,69.77,61.24
27,2016-12-01,63.28,65.58,69.77,57.68
28,2017-01-01,62.42,65.58,69.77,55.77
29,2017-02-01,62.42,65.58,69.77,55.77
30,2017-03-01,62.42,65.58,69.77,55.77
31,2017-04-01,62.42,65.58,69.77,55.77
32,2017-05-01,62.67,65.58,70.6,55.77
33,2017-06-01,62.67,65.58,70.6,55.77
34,2017-07-01,62.67,65.58,70.6,55.77
35,2017-08-01,62.67,65.58,70.6,55.77
36,2017-09-01,63.22,65.58,70.6,57.0
37,2017-10-01,63.38,58.58,70.77,61.13
38,2017-11-01,63.38,58.58,70.77,61.13
39,2017-12-01,63.38,58.58,70.77,61.13
40,2018-01-01,63.38,58.58,70.77,61.13
41,2018-02-01,63.38,58.58,70.77,61.13
42,2018-03-01,63.38,58.58,70.77,61.13
43,2018-04-01,63.38,58.58,70.77,61.13
44,2018-05-01,63.38,58.58,70.77,61.13
45,2018-06-01,63.38,58.58,70.77,61.13
46,2018-07-01,63.38,58.58,70.77,61.13
47,2018-08-01,63.38,58.58,70.77,61.13
48,2018-09-01,63.38,58.58,70.77,61.13
49,2018-10-01,63.75,59.95,70.77,61.19
50,2018-11-01,63.65,59.55,70.77,61.19
51,2018-12-01,63.94,59.55,68.77,63.15
52,2019-01-01,63.94,59.55,68.77,63.15
53,2019-02-01,63.94,59.55,68.77,63.15
54,2019-03-01,63.94,59.55,68.77,63.15
55,2019-04-01,63.94,59.55,68.77,63.15
56,2019-05-01,63.96,59.55,68.83,63.15
57,2019-06-01,63.96,59.55,68.83,63.15
58,2019-07-01,63.96,59.55,68.83,63.15
59,2019-08-01,63.96,59.55,68.83,63.15
60,2019-09-01,63.86,59.15,68.83,63.15
61,2019-10-01,63.86,59.15,68.83,63.15
62,2019-11-01,63.86,59.15,68.83,63.15
63,2019-12-01,60.38,59.15,64.42,58.36
64,2020-01-01,20.19,7.36,1.69,11.13
65,2020-02-01,20.2,7.36,1.64,11.2
66,2020-03-01,20.19,7.36,1.69,11.13
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,21.42,8.07,1.7,11.66
71,2020-08-01,21.42,8.07,1.7,11.66
72,2020-09-01,,,,
73,2020-10-01,21.44,8.09,1.7,11.66
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,21.78,8.4,1.62,11.76
77,2021-02-01,21.78,8.4,1.62,11.76
78,2021-03-01,21.39,8.01,1.62,11.76
79,2021-04-01,,,,
80,2021-05-01,16.71,6.45,0.93,9.33
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,16.71,6.45,0.93,9.33
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,16.71,6.45,0.93,9.33
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,17.11,6.84,0.93,9.33
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,17.11,6.84,0.93,9.33
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,17.6,7.21,2.74,7.65
