,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,28.61,7.21,7.87,13.53
65,2020-02-01,28.61,7.21,7.87,13.53
66,2020-03-01,28.61,7.21,7.87,13.53
70,2020-07-01,26.96,6.77,6.67,13.53
71,2020-08-01,26.96,6.77,6.67,13.53
73,2020-10-01,26.99,6.79,6.67,13.53
76,2021-01-01,25.18,6.64,5.04,13.51
77,2021-02-01,25.18,6.64,5.04,13.51
78,2021-03-01,25.18,6.64,5.04,13.51
80,2021-05-01,25.18,6.64,5.04,13.51
84,2021-09-01,25.06,6.51,5.04,13.51
89,2022-02-01,23.29,6.5,7.46,9.34
92,2022-05-01,23.29,6.5,7.46,9.34
95,2022-08-01,23.09,6.29,7.46,9.34
100,2023-01-01,23.09,6.29,7.46,9.34
108,2023-09-01,23.81,6.08,6.86,10.86
