,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,67.0,60.0,70.0,69.0
1,2014-10-01,66.0,60.0,69.0,69.0
2,2014-11-01,67.0,60.0,70.0,69.0
3,2014-12-01,67.0,60.0,70.0,69.0
4,2015-01-01,67.0,60.0,70.0,69.0
5,2015-02-01,67.0,60.0,70.0,69.0
6,2015-03-01,67.0,60.0,70.0,69.0
7,2015-04-01,67.0,60.0,70.0,69.0
8,2015-05-01,67.0,60.0,70.0,69.0
9,2015-06-01,67.0,60.0,70.0,69.0
10,2015-07-01,67.0,60.0,70.0,69.0
11,2015-08-01,67.0,57.0,70.0,70.0
12,2015-09-01,67.0,57.0,70.0,70.0
13,2015-10-01,67.0,57.0,70.0,69.0
14,2015-11-01,67.0,57.0,70.0,69.0
15,2015-12-01,67.0,57.0,70.0,70.0
16,2016-01-01,66.73,57.05,70.46,69.51
17,2016-02-01,66.73,57.05,70.46,69.51
18,2016-03-01,66.73,57.05,70.46,69.51
19,2016-04-01,64.17,57.05,70.45,63.13
20,2016-05-01,64.17,57.05,70.45,63.13
21,2016-06-01,63.9,57.05,69.67,63.13
22,2016-07-01,63.9,57.05,69.67,63.13
23,2016-08-01,64.53,61.55,68.25,63.13
24,2016-09-01,64.53,61.55,68.25,63.13
25,2016-10-01,64.53,61.55,68.25,63.13
26,2016-11-01,64.53,61.55,68.25,63.13
27,2016-12-01,64.53,61.55,68.25,63.13
28,2017-01-01,66.15,61.55,72.87,63.13
29,2017-02-01,66.15,61.55,72.87,63.13
30,2017-03-01,66.15,61.55,72.87,63.13
31,2017-04-01,66.15,61.55,72.87,63.13
32,2017-05-01,66.73,61.55,75.07,62.67
33,2017-06-01,66.73,61.55,75.07,62.67
34,2017-07-01,66.73,61.55,75.07,62.67
35,2017-08-01,66.73,61.55,75.07,62.67
36,2017-09-01,65.33,61.55,75.07,59.16
37,2017-10-01,63.12,54.55,72.43,60.33
38,2017-11-01,63.12,54.55,72.43,60.33
39,2017-12-01,63.12,54.55,72.43,60.33
40,2018-01-01,63.56,56.85,72.04,60.33
41,2018-02-01,63.56,56.85,72.04,60.33
42,2018-03-01,63.56,56.85,72.04,60.33
43,2018-04-01,63.56,56.85,72.04,60.33
44,2018-05-01,62.99,56.85,72.04,58.91
45,2018-06-01,62.99,56.85,72.04,58.91
46,2018-07-01,62.99,56.85,72.04,58.91
47,2018-08-01,62.99,56.85,72.04,58.91
48,2018-09-01,62.99,56.85,72.04,58.91
49,2018-10-01,63.76,60.05,72.04,58.83
50,2018-11-01,61.81,53.55,71.81,58.21
51,2018-12-01,61.81,53.55,71.81,58.21
52,2019-01-01,61.81,53.55,71.81,58.21
53,2019-02-01,61.81,53.55,71.81,58.21
54,2019-03-01,61.81,53.55,71.81,58.21
55,2019-04-01,61.81,53.55,71.81,58.21
56,2019-05-01,61.81,53.55,71.81,58.21
57,2019-06-01,61.81,53.55,71.81,58.21
58,2019-07-01,61.21,53.55,70.11,58.21
59,2019-08-01,61.21,53.55,70.11,58.21
60,2019-09-01,65.19,57.05,77.32,59.66
61,2019-10-01,64.89,55.85,77.32,59.66
62,2019-11-01,64.89,55.85,77.32,59.66
63,2019-12-01,64.23,56.15,75.22,59.66
64,2020-01-01,27.42,9.06,8.96,9.4
65,2020-02-01,25.9,8.44,8.5,8.96
66,2020-03-01,25.9,8.44,8.5,8.96
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,25.34,7.94,8.44,8.96
71,2020-08-01,25.34,7.94,8.44,8.96
72,2020-09-01,,,,
73,2020-10-01,25.34,7.94,8.44,8.96
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,25.13,7.81,8.44,8.88
77,2021-02-01,24.35,8.12,6.9,9.32
78,2021-03-01,24.28,8.05,6.9,9.32
79,2021-04-01,,,,
80,2021-05-01,24.28,8.05,6.9,9.32
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,,,,
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,25.91,7.68,6.88,11.34
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,25.91,7.68,6.88,11.34
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,25.91,7.68,6.88,11.34
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,25.48,7.48,6.95,11.05
