,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,66.0,66.0,65.0,66.0
1,2014-10-01,65.0,66.0,65.0,66.0
2,2014-11-01,66.0,66.0,65.0,66.0
3,2014-12-01,66.0,66.0,65.0,66.0
4,2015-01-01,66.0,66.0,65.0,66.0
5,2015-02-01,66.0,66.0,65.0,66.0
6,2015-03-01,65.0,66.0,64.0,66.0
7,2015-04-01,65.0,66.0,64.0,66.0
8,2015-05-01,65.0,66.0,64.0,66.0
9,2015-06-01,65.0,66.0,64.0,66.0
10,2015-07-01,65.0,66.0,64.0,66.0
11,2015-08-01,65.0,66.0,64.0,66.0
12,2015-09-01,65.0,66.0,64.0,66.0
13,2015-10-01,65.0,66.0,64.0,66.0
14,2015-11-01,65.0,66.0,64.0,66.0
15,2015-12-01,65.0,66.0,64.0,66.0
16,2016-01-01,65.79,66.79,65.0,66.0
17,2016-02-01,65.79,66.79,65.0,66.0
18,2016-03-01,65.79,66.79,65.0,66.0
19,2016-04-01,65.81,68.79,63.74,66.06
20,2016-05-01,65.81,68.79,63.74,66.06
21,2016-06-01,66.08,68.79,64.4,66.06
22,2016-07-01,66.34,68.79,65.06,66.06
23,2016-08-01,66.34,68.79,65.06,66.06
24,2016-09-01,64.74,68.79,65.06,61.47
25,2016-10-01,64.74,68.79,65.06,61.47
26,2016-11-01,64.74,68.79,65.06,61.47
27,2016-12-01,64.74,68.79,65.06,61.47
28,2017-01-01,64.74,68.79,65.06,61.47
29,2017-02-01,64.74,68.79,65.06,61.47
30,2017-03-01,64.74,68.79,65.06,61.47
31,2017-04-01,64.74,68.79,65.06,61.47
32,2017-05-01,65.0,68.79,65.72,61.47
33,2017-06-01,65.0,68.79,65.72,61.47
34,2017-07-01,65.0,68.79,65.72,61.47
35,2017-08-01,65.0,68.79,65.72,61.47
36,2017-09-01,65.0,68.79,65.72,61.47
37,2017-10-01,63.69,64.89,65.34,60.95
38,2017-11-01,65.65,66.39,62.65,68.55
39,2017-12-01,65.65,66.39,62.65,68.55
40,2018-01-01,65.65,66.39,62.65,68.55
41,2018-02-01,65.65,66.39,62.65,68.55
42,2018-03-01,65.65,66.39,62.65,68.55
43,2018-04-01,65.65,66.39,62.65,68.55
44,2018-05-01,65.69,66.55,62.65,68.55
45,2018-06-01,65.69,66.55,62.65,68.55
46,2018-07-01,65.69,66.55,62.65,68.55
47,2018-08-01,65.69,66.55,62.65,68.55
48,2018-09-01,65.69,66.55,62.65,68.55
49,2018-10-01,65.42,66.55,61.97,68.55
50,2018-11-01,68.29,67.95,63.37,74.17
51,2018-12-01,68.26,67.95,63.37,74.08
52,2019-01-01,68.26,67.95,63.37,74.08
53,2019-02-01,68.26,67.95,63.37,74.08
54,2019-03-01,68.49,67.79,64.05,74.08
55,2019-04-01,68.49,67.79,64.05,74.08
56,2019-05-01,68.49,67.79,64.05,74.08
57,2019-06-01,67.92,67.79,64.05,72.45
58,2019-07-01,67.92,67.79,64.05,72.45
59,2019-08-01,67.92,67.79,64.05,72.45
60,2019-09-01,67.92,67.79,64.05,72.45
61,2019-10-01,67.92,67.79,64.05,72.45
62,2019-11-01,68.02,68.19,64.05,72.45
63,2019-12-01,67.39,68.19,62.45,72.45
64,2020-01-01,27.71,7.9,13.12,6.68
65,2020-02-01,27.71,7.9,13.12,6.68
66,2020-03-01,27.71,7.9,13.12,6.68
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,24.76,7.3,11.68,5.79
71,2020-08-01,24.76,7.3,11.68,5.79
72,2020-09-01,,,,
73,2020-10-01,24.51,7.05,11.68,5.79
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,24.51,7.05,11.68,5.79
77,2021-02-01,24.51,7.05,11.68,5.79
78,2021-03-01,23.81,7.05,11.42,5.34
79,2021-04-01,,,,
80,2021-05-01,24.21,7.37,11.51,5.34
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,24.66,7.81,11.51,5.34
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,24.81,7.81,11.51,5.5
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,24.36,6.96,11.98,5.42
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,24.36,6.96,11.98,5.42
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,24.6,7.2,11.98,5.42
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,25.27,6.59,12.84,5.85
