,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,49.0,52.0,51.0,45.0
1,2014-10-01,49.0,52.0,51.0,45.0
2,2014-11-01,49.0,52.0,51.0,45.0
3,2014-12-01,45.0,54.0,39.0,46.0
4,2015-01-01,45.0,54.0,39.0,46.0
5,2015-02-01,45.0,54.0,39.0,46.0
6,2015-03-01,44.0,51.0,38.0,46.0
7,2015-04-01,44.0,51.0,38.0,46.0
8,2015-05-01,44.0,51.0,38.0,46.0
9,2015-06-01,44.0,51.0,38.0,46.0
10,2015-07-01,44.0,51.0,38.0,46.0
11,2015-08-01,44.0,51.0,38.0,46.0
12,2015-09-01,44.0,51.0,38.0,46.0
13,2015-10-01,44.0,51.0,37.0,46.0
14,2015-11-01,44.0,51.0,37.0,46.0
15,2015-12-01,46.0,52.0,41.0,45.0
16,2016-01-01,45.55,52.03,41.07,45.41
17,2016-02-01,45.55,52.03,41.07,45.41
18,2016-03-01,45.55,52.03,41.07,45.41
19,2016-04-01,43.57,52.03,40.71,40.78
20,2016-05-01,43.57,52.03,40.71,40.78
21,2016-06-01,43.57,52.03,40.71,40.78
22,2016-07-01,43.57,52.03,40.71,40.78
23,2016-08-01,43.57,52.03,40.71,40.78
24,2016-09-01,43.57,52.03,40.71,40.78
25,2016-10-01,43.57,52.03,40.71,40.78
26,2016-11-01,43.57,52.03,40.71,40.78
27,2016-12-01,43.57,52.03,40.71,40.78
28,2017-01-01,46.45,51.83,40.71,48.11
29,2017-02-01,46.45,51.83,40.71,48.11
30,2017-03-01,46.45,51.83,40.71,48.11
31,2017-04-01,46.45,51.83,40.71,48.11
32,2017-05-01,46.42,51.83,40.71,48.03
33,2017-06-01,46.42,51.83,40.71,48.03
34,2017-07-01,46.42,51.83,40.71,48.03
35,2017-08-01,46.46,52.0,40.71,48.03
36,2017-09-01,45.2,52.0,40.71,44.86
37,2017-10-01,45.63,49.6,41.57,46.69
38,2017-11-01,45.63,49.6,41.57,46.69
39,2017-12-01,45.63,49.6,41.57,46.69
40,2018-01-01,45.63,49.6,41.57,46.69
41,2018-02-01,45.63,49.6,41.57,46.69
42,2018-03-01,45.63,49.6,41.57,46.69
43,2018-04-01,45.63,49.6,41.57,46.69
44,2018-05-01,45.63,49.6,41.57,46.69
45,2018-06-01,45.63,49.6,41.57,46.69
46,2018-07-01,45.63,49.6,41.57,46.69
47,2018-08-01,45.63,49.6,41.57,46.69
48,2018-09-01,42.75,47.6,38.71,43.25
49,2018-10-01,42.75,47.6,38.71,43.25
50,2018-11-01,42.85,48.0,38.71,43.25
51,2018-12-01,42.85,48.0,38.71,43.25
52,2019-01-01,42.85,48.0,38.71,43.25
53,2019-02-01,42.8,48.0,38.71,43.13
54,2019-03-01,42.23,48.0,38.71,41.7
55,2019-04-01,42.23,48.0,38.71,41.7
56,2019-05-01,42.23,48.0,38.71,41.7
57,2019-06-01,42.23,48.0,38.71,41.7
58,2019-07-01,42.23,48.0,38.71,41.7
59,2019-08-01,42.23,48.0,38.71,41.7
60,2019-09-01,42.23,48.0,38.71,41.7
61,2019-10-01,42.23,48.0,38.71,41.7
62,2019-11-01,47.57,49.2,44.0,49.68
63,2019-12-01,46.37,48.6,41.32,49.4
64,2020-01-01,23.17,8.29,4.06,10.81
65,2020-02-01,23.41,8.29,4.06,11.06
66,2020-03-01,23.41,8.29,4.06,11.06
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,23.41,8.29,4.06,11.06
71,2020-08-01,23.41,8.29,4.06,11.06
72,2020-09-01,,,,
73,2020-10-01,23.43,8.32,4.06,11.06
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,23.43,8.32,4.06,11.06
77,2021-02-01,23.55,8.43,4.06,11.06
78,2021-03-01,23.55,8.43,4.06,11.06
79,2021-04-01,,,,
80,2021-05-01,23.55,8.43,4.06,11.06
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,25.95,9.42,2.11,14.42
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,25.43,8.9,2.11,14.42
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,25.43,8.9,2.11,14.42
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,25.43,8.9,2.11,14.42
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,25.7,9.81,2.11,13.79
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,27.65,10.08,4.27,13.31
