,timestamp,esgScore,governanceScore,environmentScore,socialScore
49,2020-01-01,15.74,6.73,4.53,4.47
50,2020-02-01,15.74,6.73,4.53,4.47
51,2020-03-01,15.74,6.73,4.53,4.47
55,2020-07-01,15.74,6.73,4.53,4.47
56,2020-08-01,15.49,6.48,4.53,4.47
58,2020-10-01,13.92,5.78,4.0,4.14
61,2021-01-01,13.92,5.78,4.0,4.14
62,2021-02-01,13.92,5.78,4.0,4.14
63,2021-03-01,13.92,5.78,4.0,4.14
65,2021-05-01,13.92,5.78,4.0,4.14
69,2021-09-01,13.78,5.64,4.0,4.14
74,2022-02-01,13.94,5.86,3.81,4.28
77,2022-05-01,13.94,5.86,3.81,4.28
80,2022-08-01,13.94,5.86,3.81,4.28
85,2023-01-01,14.08,5.99,3.81,4.28
93,2023-09-01,15.2,7.26,4.23,3.72
