,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,29.87,10.42,9.23,10.22
65,2020-02-01,29.87,10.42,9.23,10.22
66,2020-03-01,29.67,10.22,9.23,10.22
70,2020-07-01,30.0,10.23,9.54,10.22
71,2020-08-01,30.0,10.23,9.54,10.22
73,2020-10-01,30.02,10.26,9.54,10.22
76,2021-01-01,29.7,9.93,9.54,10.22
77,2021-02-01,31.47,9.61,9.68,12.18
78,2021-03-01,31.47,9.61,9.68,12.18
80,2021-05-01,31.18,9.61,9.39,12.18
84,2021-09-01,31.19,9.62,9.39,12.18
89,2022-02-01,29.57,8.96,9.27,11.34
92,2022-05-01,29.95,9.35,9.27,11.34
95,2022-08-01,29.95,9.35,9.27,11.34
108,2023-09-01,22.35,8.51,7.43,6.41
