,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,61.0,85.0,48.0,59.0
1,2014-10-01,61.0,85.0,48.0,59.0
2,2014-11-01,61.0,85.0,48.0,59.0
3,2014-12-01,61.0,85.0,48.0,59.0
4,2015-01-01,68.0,86.0,51.0,73.0
5,2015-02-01,67.0,86.0,51.0,70.0
6,2015-03-01,68.0,86.0,53.0,70.0
7,2015-04-01,68.0,86.0,53.0,70.0
8,2015-05-01,68.0,86.0,53.0,70.0
9,2015-06-01,68.0,86.0,53.0,70.0
10,2015-07-01,68.0,86.0,53.0,70.0
11,2015-08-01,68.0,86.0,53.0,70.0
12,2015-09-01,68.0,86.0,53.0,70.0
13,2015-10-01,70.0,86.0,54.0,74.0
14,2015-11-01,70.0,86.0,54.0,74.0
15,2015-12-01,70.0,86.0,54.0,74.0
16,2016-01-01,70.24,85.7,54.48,74.36
17,2016-02-01,70.24,85.7,54.48,74.36
18,2016-03-01,69.52,82.82,54.48,74.36
19,2016-04-01,69.01,82.82,55.61,72.1
20,2016-05-01,69.01,82.82,55.61,72.1
21,2016-06-01,69.01,82.82,55.61,72.1
22,2016-07-01,69.4,82.82,56.74,72.1
23,2016-08-01,69.4,82.82,56.74,72.1
24,2016-09-01,69.42,82.82,56.74,72.15
25,2016-10-01,69.42,82.82,56.74,72.15
26,2016-11-01,69.42,82.82,56.74,72.15
27,2016-12-01,69.42,82.82,56.74,72.15
28,2017-01-01,69.42,82.82,56.74,72.15
29,2017-02-01,69.42,82.82,56.74,72.15
30,2017-03-01,67.31,83.82,55.61,67.23
31,2017-04-01,69.92,83.82,56.74,72.76
32,2017-05-01,67.54,83.82,49.97,72.76
33,2017-06-01,67.54,83.82,49.97,72.76
34,2017-07-01,67.54,83.82,49.97,72.76
35,2017-08-01,67.54,83.82,49.97,72.76
36,2017-09-01,67.54,83.82,49.97,72.76
37,2017-10-01,64.71,77.82,46.72,72.27
38,2017-11-01,64.71,77.82,46.72,72.27
39,2017-12-01,63.52,79.52,46.76,68.18
40,2018-01-01,63.52,79.52,46.76,68.18
41,2018-02-01,63.52,79.52,46.76,68.18
42,2018-03-01,63.52,79.52,46.76,68.18
43,2018-04-01,63.52,79.52,46.76,68.18
44,2018-05-01,63.52,79.52,46.76,68.18
45,2018-06-01,63.52,79.52,46.76,68.18
46,2018-07-01,63.52,79.52,46.76,68.18
47,2018-08-01,63.52,79.52,46.76,68.18
48,2018-09-01,63.52,79.52,46.76,68.18
49,2018-10-01,64.92,80.52,46.76,71.06
50,2018-11-01,64.62,79.32,46.76,71.06
51,2018-12-01,64.62,79.32,46.76,71.06
52,2019-01-01,64.62,79.32,46.76,71.06
53,2019-02-01,64.62,79.32,46.76,71.06
54,2019-03-01,65.04,79.32,47.98,71.06
55,2019-04-01,66.72,79.32,50.41,73.12
56,2019-05-01,66.72,79.32,50.41,73.12
57,2019-06-01,66.71,79.32,50.41,73.1
58,2019-07-01,66.71,79.32,50.41,73.1
59,2019-08-01,66.71,79.32,50.41,73.1
60,2019-09-01,66.71,79.32,50.41,73.1
61,2019-10-01,66.71,79.32,50.41,73.1
62,2019-11-01,65.75,80.32,46.94,73.12
63,2019-12-01,64.12,79.52,44.13,72.0
64,2020-01-01,40.2,6.76,21.67,11.77
65,2020-02-01,40.2,6.76,21.67,11.77
66,2020-03-01,40.2,6.76,21.67,11.77
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,41.82,6.76,21.99,13.07
71,2020-08-01,38.38,6.73,18.57,13.07
72,2020-09-01,,,,
73,2020-10-01,38.4,6.75,18.57,13.07
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,37.75,6.1,18.57,13.07
77,2021-02-01,37.75,6.1,18.57,13.07
78,2021-03-01,34.06,5.29,16.71,12.06
79,2021-04-01,,,,
80,2021-05-01,34.33,5.29,18.5,10.54
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,33.92,4.88,18.5,10.54
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,34.5,5.45,18.5,10.54
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,32.17,5.45,16.56,10.15
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,31.94,5.22,16.56,10.15
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,31.94,5.22,16.56,10.15
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,31.61,6.4,15.26,9.96
