,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,47.0,64.0,37.0,45.0
1,2014-10-01,47.0,64.0,37.0,45.0
2,2014-11-01,47.0,64.0,37.0,45.0
3,2014-12-01,47.0,64.0,37.0,45.0
4,2015-01-01,47.0,64.0,37.0,45.0
5,2015-02-01,47.0,64.0,37.0,45.0
6,2015-03-01,47.0,64.0,37.0,45.0
7,2015-04-01,47.0,64.0,37.0,45.0
8,2015-05-01,47.0,64.0,37.0,45.0
9,2015-06-01,47.0,64.0,37.0,45.0
10,2015-07-01,47.0,64.0,37.0,45.0
11,2015-08-01,47.0,64.0,37.0,45.0
12,2015-09-01,47.0,64.0,37.0,45.0
13,2015-10-01,47.0,64.0,37.0,45.0
14,2015-11-01,47.0,64.0,37.0,45.0
15,2015-12-01,47.0,64.0,37.0,45.0
16,2016-01-01,47.25,64.0,36.66,45.0
17,2016-02-01,47.25,64.0,36.66,45.0
18,2016-03-01,47.25,64.0,36.66,45.0
19,2016-04-01,45.42,64.0,36.67,40.92
20,2016-05-01,45.42,64.0,36.67,40.92
21,2016-06-01,45.42,64.0,36.67,40.92
22,2016-07-01,45.42,64.0,36.67,40.92
23,2016-08-01,45.42,64.0,36.67,40.92
24,2016-09-01,45.42,64.0,36.67,40.92
25,2016-10-01,45.42,64.0,36.67,40.92
26,2016-11-01,45.42,64.0,36.67,40.92
27,2016-12-01,45.42,64.0,36.67,40.92
28,2017-01-01,45.42,64.0,36.67,40.92
29,2017-02-01,45.42,64.0,36.67,40.92
30,2017-03-01,45.42,64.0,36.67,40.92
31,2017-04-01,45.42,64.0,36.67,40.92
32,2017-05-01,45.42,64.0,36.67,40.92
33,2017-06-01,45.42,64.0,36.67,40.92
34,2017-07-01,45.42,64.0,36.67,40.92
35,2017-08-01,47.17,71.0,36.67,40.92
36,2017-09-01,47.17,71.0,36.67,40.92
37,2017-10-01,44.94,62.1,36.67,40.92
38,2017-11-01,44.94,62.1,36.67,40.92
39,2017-12-01,44.94,62.1,36.67,40.92
40,2018-01-01,44.94,62.1,36.67,40.92
41,2018-02-01,44.94,62.1,36.67,40.92
42,2018-03-01,44.94,62.1,36.67,40.92
43,2018-04-01,44.94,62.1,36.67,40.92
44,2018-05-01,44.94,62.1,36.67,40.92
45,2018-06-01,44.94,62.1,36.67,40.92
46,2018-07-01,44.94,62.1,36.67,40.92
47,2018-08-01,49.73,66.85,42.67,44.93
48,2018-09-01,49.73,66.85,42.67,44.93
49,2018-10-01,49.73,66.85,42.67,44.93
50,2018-11-01,49.73,66.85,42.67,44.93
51,2018-12-01,49.28,65.05,42.67,44.93
52,2019-01-01,49.28,65.05,42.67,44.93
53,2019-02-01,49.28,65.05,42.67,44.93
54,2019-03-01,49.28,65.05,42.67,44.93
55,2019-04-01,49.28,65.05,42.67,44.93
56,2019-05-01,49.28,65.05,42.67,44.93
57,2019-06-01,49.28,65.05,42.67,44.93
58,2019-07-01,49.28,65.05,42.67,44.93
59,2019-08-01,49.28,65.05,42.67,44.93
60,2019-09-01,49.28,65.05,42.67,44.93
61,2019-10-01,49.28,65.05,42.67,44.93
62,2019-11-01,53.09,63.9,54.33,46.26
63,2019-12-01,52.86,62.9,51.94,47.91
64,2020-01-01,21.9,8.43,2.72,10.76
65,2020-02-01,21.9,8.43,2.72,10.76
66,2020-03-01,21.9,8.43,2.72,10.76
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,21.9,8.43,2.72,10.76
71,2020-08-01,21.9,8.43,2.72,10.76
72,2020-09-01,,,,
73,2020-10-01,21.3,7.82,2.72,10.76
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,21.3,7.82,2.72,10.76
77,2021-02-01,21.3,7.82,2.72,10.76
78,2021-03-01,21.3,7.82,2.72,10.76
79,2021-04-01,,,,
80,2021-05-01,21.3,7.82,2.72,10.76
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,20.15,6.44,2.84,10.88
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,20.15,6.44,2.84,10.88
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,20.3,6.59,2.84,10.88
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,20.3,6.59,2.84,10.88
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,20.44,6.61,2.94,10.88
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,18.37,5.3,4.32,8.75
