,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,62.0,55.0,70.0,58.0
1,2014-10-01,61.0,55.0,70.0,56.0
2,2014-11-01,61.0,55.0,70.0,56.0
3,2014-12-01,60.0,52.0,70.0,56.0
4,2015-01-01,60.0,52.0,70.0,56.0
5,2015-02-01,60.0,52.0,70.0,56.0
6,2015-03-01,59.0,52.0,71.0,53.0
7,2015-04-01,59.0,52.0,71.0,53.0
8,2015-05-01,59.0,52.0,71.0,53.0
9,2015-06-01,57.0,52.0,68.0,49.0
10,2015-07-01,57.0,52.0,68.0,49.0
11,2015-08-01,62.0,53.0,73.0,57.0
12,2015-09-01,62.0,53.0,73.0,57.0
13,2015-10-01,63.0,53.0,76.0,57.0
14,2015-11-01,63.0,53.0,76.0,57.0
15,2015-12-01,63.0,53.0,76.0,57.0
16,2016-01-01,62.58,53.35,75.74,56.84
17,2016-02-01,62.58,53.35,75.74,56.84
18,2016-03-01,62.58,53.35,75.74,56.84
19,2016-04-01,62.57,53.35,75.74,56.8
20,2016-05-01,62.57,53.35,75.74,56.8
21,2016-06-01,66.98,59.58,76.32,63.44
22,2016-07-01,66.98,59.58,76.32,63.44
23,2016-08-01,65.52,59.58,72.14,63.44
24,2016-09-01,65.52,59.58,72.14,63.44
25,2016-10-01,65.52,59.58,72.14,63.44
26,2016-11-01,65.52,59.58,72.14,63.44
27,2016-12-01,65.52,59.58,72.14,63.44
28,2017-01-01,64.05,59.58,71.39,60.43
29,2017-02-01,64.05,59.58,71.39,60.43
30,2017-03-01,64.05,59.58,71.39,60.43
31,2017-04-01,64.05,59.58,71.39,60.43
32,2017-05-01,63.51,59.58,69.84,60.43
33,2017-06-01,63.51,59.58,69.84,60.43
34,2017-07-01,63.51,59.58,69.84,60.43
35,2017-08-01,63.51,59.58,69.84,60.43
36,2017-09-01,63.51,59.58,69.84,60.43
37,2017-10-01,63.44,57.48,70.2,61.25
38,2017-11-01,63.44,57.48,70.2,61.25
39,2017-12-01,63.44,57.48,70.2,61.25
40,2018-01-01,62.56,57.48,68.51,60.53
41,2018-02-01,62.56,57.48,68.51,60.53
42,2018-03-01,62.56,57.48,68.51,60.53
43,2018-04-01,62.56,57.48,68.51,60.53
44,2018-05-01,62.56,57.48,68.51,60.53
45,2018-06-01,62.56,57.48,68.51,60.53
46,2018-07-01,62.56,57.48,68.51,60.53
47,2018-08-01,62.56,57.48,68.51,60.53
48,2018-09-01,63.2,57.65,68.51,62.03
49,2018-10-01,63.62,61.15,67.83,61.48
50,2018-11-01,63.32,59.95,67.83,61.48
51,2018-12-01,63.32,59.95,67.83,61.48
52,2019-01-01,63.32,59.95,67.83,61.48
53,2019-02-01,63.32,59.95,67.83,61.48
54,2019-03-01,63.32,59.95,67.83,61.48
55,2019-04-01,63.54,60.85,67.83,61.48
56,2019-05-01,63.54,60.85,67.83,61.48
57,2019-06-01,64.45,62.85,67.83,62.5
58,2019-07-01,60.9,62.85,57.66,62.5
59,2019-08-01,60.9,62.85,57.66,62.5
60,2019-09-01,60.9,62.85,57.66,62.5
61,2019-10-01,60.9,62.85,57.66,62.5
62,2019-11-01,60.9,62.85,57.66,62.5
63,2019-12-01,21.5,6.15,6.21,9.14
64,2020-01-01,21.5,6.15,6.21,9.14
65,2020-02-01,21.5,6.15,6.21,9.14
66,2020-03-01,21.47,6.13,6.21,9.14
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,21.47,6.13,6.21,9.14
71,2020-08-01,20.38,6.13,5.11,9.14
72,2020-09-01,,,,
73,2020-10-01,21.26,5.99,5.25,10.02
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,21.26,5.99,5.25,10.02
77,2021-02-01,21.26,5.99,5.25,10.02
78,2021-03-01,21.26,5.99,5.25,10.02
79,2021-04-01,,,,
80,2021-05-01,21.24,6.15,5.07,10.02
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,20.94,5.9,5.07,9.97
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,20.45,5.84,5.29,9.32
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,20.45,5.84,5.29,9.32
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,20.45,5.84,5.29,9.32
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,19.68,5.61,5.66,8.42
