,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,54.0,75.0,44.0,52.0
1,2014-10-01,53.0,75.0,44.0,52.0
2,2014-11-01,54.0,75.0,44.0,52.0
3,2014-12-01,54.0,75.0,44.0,52.0
4,2015-01-01,55.0,74.0,46.0,53.0
5,2015-02-01,55.0,74.0,46.0,53.0
6,2015-03-01,55.0,74.0,46.0,53.0
7,2015-04-01,55.0,74.0,46.0,53.0
8,2015-05-01,55.0,74.0,46.0,53.0
9,2015-06-01,55.0,74.0,46.0,53.0
10,2015-07-01,55.0,74.0,46.0,53.0
11,2015-08-01,55.0,74.0,46.0,53.0
12,2015-09-01,55.0,74.0,46.0,53.0
13,2015-10-01,55.0,73.0,43.0,59.0
14,2015-11-01,55.0,73.0,43.0,59.0
15,2015-12-01,53.0,73.0,38.0,59.0
16,2016-01-01,53.18,73.18,38.11,59.12
17,2016-02-01,53.18,73.18,38.11,59.12
18,2016-03-01,53.18,73.18,38.11,59.12
19,2016-04-01,53.02,73.18,39.81,56.03
20,2016-05-01,53.02,73.18,39.81,56.03
21,2016-06-01,53.02,73.18,39.81,56.03
22,2016-07-01,53.02,73.18,39.81,56.03
23,2016-08-01,53.02,73.18,39.81,56.03
24,2016-09-01,55.56,78.28,42.19,56.69
25,2016-10-01,55.56,78.28,42.19,56.69
26,2016-11-01,55.56,78.28,42.19,56.69
27,2016-12-01,55.56,78.28,42.19,56.69
28,2017-01-01,55.56,78.28,42.19,56.69
29,2017-02-01,55.56,78.28,42.19,56.69
30,2017-03-01,55.56,78.28,42.19,56.69
31,2017-04-01,55.56,78.28,42.19,56.69
32,2017-05-01,56.24,78.28,43.69,56.69
33,2017-06-01,56.24,78.28,43.69,56.69
34,2017-07-01,56.24,78.28,43.69,56.69
35,2017-08-01,56.24,78.28,43.69,56.69
36,2017-09-01,59.64,79.28,49.82,58.02
37,2017-10-01,60.21,76.28,51.87,59.35
38,2017-11-01,60.21,76.28,51.87,59.35
39,2017-12-01,60.21,76.28,51.87,59.35
40,2018-01-01,60.21,76.28,51.87,59.35
41,2018-02-01,60.21,76.28,51.87,59.35
42,2018-03-01,60.21,76.28,51.87,59.35
43,2018-04-01,60.21,76.28,51.87,59.35
44,2018-05-01,59.41,73.08,51.87,59.35
45,2018-06-01,59.41,73.08,51.87,59.35
46,2018-07-01,59.41,73.08,51.87,59.35
47,2018-08-01,59.41,73.08,51.87,59.35
48,2018-09-01,59.41,73.08,51.87,59.35
49,2018-10-01,59.61,73.08,52.31,59.35
50,2018-11-01,59.81,73.88,52.31,59.35
51,2018-12-01,58.83,71.98,49.59,61.73
52,2019-01-01,58.83,71.98,49.59,61.73
53,2019-02-01,58.83,71.98,49.59,61.73
54,2019-03-01,59.16,71.98,50.33,61.73
55,2019-04-01,59.16,71.98,50.33,61.73
56,2019-05-01,59.16,71.98,50.33,61.73
57,2019-06-01,59.15,71.92,50.33,61.73
58,2019-07-01,59.15,71.92,50.33,61.73
59,2019-08-01,59.15,71.92,50.33,61.73
60,2019-09-01,59.15,71.92,50.33,61.73
61,2019-10-01,59.15,71.92,50.33,61.73
62,2019-11-01,59.2,72.12,50.33,61.73
63,2019-12-01,57.85,70.92,48.01,61.73
64,2020-01-01,39.74,7.21,18.47,14.06
65,2020-02-01,39.74,7.21,18.47,14.06
66,2020-03-01,39.74,7.21,18.47,14.06
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,37.93,7.75,17.87,12.32
71,2020-08-01,37.93,7.75,17.87,12.32
72,2020-09-01,,,,
73,2020-10-01,38.75,8.56,17.87,12.32
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,34.51,7.29,17.39,9.83
77,2021-02-01,34.51,7.29,17.39,9.83
78,2021-03-01,34.51,7.29,17.39,9.83
79,2021-04-01,,,,
80,2021-05-01,34.51,7.29,17.39,9.83
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,34.51,7.29,17.39,9.83
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,34.08,7.06,17.39,9.63
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,29.37,6.84,12.96,9.58
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,29.37,6.84,12.96,9.58
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,29.51,6.84,12.96,9.72
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,25.56,5.79,10.77,8.99
