,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,49.0,61.0,40.0,48.0
1,2014-10-01,49.0,61.0,40.0,48.0
2,2014-11-01,49.0,61.0,40.0,48.0
3,2014-12-01,48.0,59.0,40.0,48.0
4,2015-01-01,48.0,59.0,40.0,48.0
5,2015-02-01,48.0,59.0,40.0,48.0
6,2015-03-01,49.0,59.0,41.0,48.0
7,2015-04-01,49.0,59.0,41.0,48.0
8,2015-05-01,49.0,59.0,41.0,48.0
9,2015-06-01,49.0,59.0,41.0,48.0
10,2015-07-01,49.0,59.0,41.0,48.0
11,2015-08-01,49.0,59.0,41.0,48.0
12,2015-09-01,49.0,59.0,41.0,48.0
13,2015-10-01,49.0,59.0,41.0,48.0
14,2015-11-01,48.0,64.0,41.0,44.0
15,2015-12-01,48.0,64.0,42.0,44.0
16,2016-01-01,48.37,63.69,41.5,44.44
17,2016-02-01,48.37,63.69,41.5,44.44
18,2016-03-01,48.37,63.69,41.5,44.44
19,2016-04-01,48.69,63.69,44.0,43.47
20,2016-05-01,48.69,63.69,44.0,43.47
21,2016-06-01,48.69,63.69,44.0,43.47
22,2016-07-01,48.69,63.69,44.0,43.47
23,2016-08-01,48.69,63.69,44.0,43.47
24,2016-09-01,48.69,63.69,44.0,43.47
25,2016-10-01,48.69,63.69,44.0,43.47
26,2016-11-01,48.69,63.69,44.0,43.47
27,2016-12-01,48.8,65.19,44.17,42.78
28,2017-01-01,46.95,65.19,44.17,38.67
29,2017-02-01,46.95,65.19,44.17,38.67
30,2017-03-01,46.95,65.19,44.17,38.67
31,2017-04-01,46.95,65.19,44.17,38.67
32,2017-05-01,45.95,65.19,40.83,38.67
33,2017-06-01,45.95,65.19,40.83,38.67
34,2017-07-01,45.95,65.19,40.83,38.67
35,2017-08-01,45.95,65.19,40.83,38.67
36,2017-09-01,45.7,64.19,40.83,38.67
37,2017-10-01,47.11,59.99,42.83,42.8
38,2017-11-01,47.11,59.99,42.83,42.8
39,2017-12-01,47.11,59.99,42.83,42.8
40,2018-01-01,47.11,59.99,42.83,42.8
41,2018-02-01,47.11,59.99,42.83,42.8
42,2018-03-01,47.11,59.99,42.83,42.8
43,2018-04-01,47.11,59.99,42.83,42.8
44,2018-05-01,47.11,59.99,42.83,42.8
45,2018-06-01,47.11,59.99,42.83,42.8
46,2018-07-01,47.11,59.99,42.83,42.8
47,2018-08-01,47.04,59.99,42.83,42.65
48,2018-09-01,47.04,59.99,42.83,42.65
49,2018-10-01,47.41,61.49,42.83,42.65
50,2018-11-01,47.11,60.29,42.83,42.65
51,2018-12-01,47.15,60.45,42.83,42.65
52,2019-01-01,49.47,59.95,45.83,46.08
53,2019-02-01,49.47,59.95,45.83,46.08
54,2019-03-01,49.47,59.95,45.83,46.08
55,2019-04-01,49.47,59.95,45.83,46.08
56,2019-05-01,49.47,59.95,45.83,46.08
57,2019-06-01,49.47,59.95,45.83,46.08
58,2019-07-01,49.47,59.95,45.83,46.08
59,2019-08-01,49.47,59.95,45.83,46.08
60,2019-09-01,49.47,59.95,45.83,46.08
61,2019-10-01,49.47,59.95,45.83,46.08
62,2019-11-01,49.52,60.15,45.83,46.08
63,2019-12-01,49.56,61.35,42.44,47.75
64,2020-01-01,19.38,6.85,0.11,12.44
65,2020-02-01,19.38,6.85,0.11,12.44
66,2020-03-01,18.68,6.9,0.11,11.68
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,18.68,6.9,0.11,11.68
71,2020-08-01,18.68,6.9,0.11,11.68
72,2020-09-01,,,,
73,2020-10-01,18.58,6.8,0.11,11.68
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,18.58,6.8,0.11,11.68
77,2021-02-01,18.58,6.8,0.11,11.68
78,2021-03-01,18.58,6.8,0.11,11.68
79,2021-04-01,,,,
80,2021-05-01,18.58,6.8,0.11,11.68
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,18.23,5.83,1.27,11.14
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,18.23,5.83,1.27,11.14
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,18.08,5.68,1.27,11.14
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,18.08,5.68,1.27,11.14
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,17.48,5.21,4.09,8.17
