,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,53.0,53.0,39.0,64.0
1,2014-10-01,53.0,53.0,39.0,64.0
2,2014-11-01,53.0,53.0,39.0,64.0
3,2014-12-01,53.0,53.0,39.0,64.0
4,2015-01-01,53.0,53.0,44.0,62.0
5,2015-02-01,53.0,53.0,44.0,62.0
6,2015-03-01,54.0,53.0,45.0,62.0
7,2015-04-01,54.0,53.0,45.0,62.0
8,2015-05-01,54.0,53.0,45.0,62.0
9,2015-06-01,54.0,53.0,45.0,62.0
10,2015-07-01,54.0,53.0,45.0,62.0
11,2015-08-01,54.0,53.0,45.0,62.0
12,2015-09-01,54.0,53.0,45.0,62.0
13,2015-10-01,54.0,53.0,45.0,62.0
14,2015-11-01,54.0,53.0,46.0,61.0
15,2015-12-01,54.0,53.0,46.0,61.0
16,2016-01-01,53.73,53.25,45.75,61.07
17,2016-02-01,53.73,53.25,45.75,61.07
18,2016-03-01,53.73,53.25,45.75,61.07
19,2016-04-01,51.99,53.96,46.17,55.12
20,2016-05-01,51.99,53.96,46.17,55.12
21,2016-06-01,51.99,53.96,46.17,55.12
22,2016-07-01,51.87,53.96,45.75,55.12
23,2016-08-01,51.87,53.96,45.75,55.12
24,2016-09-01,51.87,53.96,45.75,55.12
25,2016-10-01,51.87,53.96,45.75,55.12
26,2016-11-01,51.87,53.96,45.75,55.12
27,2016-12-01,51.18,53.43,44.5,54.79
28,2017-01-01,50.99,53.11,44.5,54.54
29,2017-02-01,50.94,53.11,44.33,54.54
30,2017-03-01,50.94,53.11,44.33,54.54
31,2017-04-01,50.94,53.11,44.33,54.54
32,2017-05-01,50.69,53.11,43.5,54.54
33,2017-06-01,50.69,53.11,43.5,54.54
34,2017-07-01,50.69,53.11,43.5,54.54
35,2017-08-01,50.69,53.11,43.5,54.54
36,2017-09-01,50.69,53.11,43.5,54.54
37,2017-10-01,50.83,52.69,43.08,55.87
38,2017-11-01,50.83,52.69,43.08,55.87
39,2017-12-01,49.73,50.93,43.08,54.54
40,2018-01-01,49.73,50.93,43.08,54.54
41,2018-02-01,49.73,50.93,43.08,54.54
42,2018-03-01,49.73,50.93,43.08,54.54
43,2018-04-01,49.73,50.93,43.08,54.54
44,2018-05-01,49.73,50.93,43.08,54.54
45,2018-06-01,49.73,50.93,43.08,54.54
46,2018-07-01,49.73,50.93,43.08,54.54
47,2018-08-01,49.73,50.93,43.08,54.54
48,2018-09-01,49.73,50.93,43.08,54.54
49,2018-10-01,52.17,50.93,47.67,57.87
50,2018-11-01,51.96,50.38,47.67,57.87
51,2018-12-01,51.96,50.38,47.67,57.87
52,2019-01-01,52.75,50.38,48.5,59.53
53,2019-02-01,52.75,50.38,48.5,59.53
54,2019-03-01,52.75,50.38,48.5,59.53
55,2019-04-01,52.75,50.38,48.5,59.53
56,2019-05-01,52.75,50.38,48.5,59.53
57,2019-06-01,52.75,50.38,48.5,59.53
58,2019-07-01,52.82,50.38,48.75,59.53
59,2019-08-01,52.82,50.38,48.75,59.53
60,2019-09-01,52.82,50.38,48.75,59.53
61,2019-10-01,52.82,50.38,48.75,59.53
62,2019-11-01,52.92,50.63,48.75,59.53
63,2019-12-01,52.37,50.7,46.83,59.53
64,2020-01-01,26.53,11.28,2.22,13.03
65,2020-02-01,26.53,11.28,2.22,13.03
66,2020-03-01,26.53,11.28,2.22,13.03
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,25.88,10.88,2.22,12.78
71,2020-08-01,25.88,10.88,2.22,12.78
72,2020-09-01,,,,
73,2020-10-01,26.0,10.55,2.22,13.23
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,26.0,10.55,2.22,13.23
77,2021-02-01,25.89,10.44,2.22,13.23
78,2021-03-01,25.89,10.44,2.22,13.23
79,2021-04-01,,,,
80,2021-05-01,25.89,10.44,2.22,13.23
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,18.65,9.23,1.23,8.19
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,18.68,9.24,1.24,8.21
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,18.75,9.1,1.46,8.19
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,18.75,9.1,1.46,8.19
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,17.44,7.36,1.41,8.68
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,16.84,7.5,1.19,8.15
