,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,38.86,7.53,10.07,21.27
65,2020-02-01,38.86,7.53,10.07,21.27
66,2020-03-01,38.86,7.53,10.07,21.27
70,2020-07-01,37.37,7.32,9.86,20.19
71,2020-08-01,37.37,7.32,9.86,20.19
73,2020-10-01,37.39,7.34,9.86,20.19
76,2021-01-01,37.61,7.56,9.86,20.19
77,2021-02-01,37.61,7.56,9.86,20.19
78,2021-03-01,37.61,7.56,9.86,20.19
80,2021-05-01,37.61,7.56,9.86,20.19
84,2021-09-01,36.72,7.9,9.32,19.5
89,2022-02-01,34.88,6.87,8.48,19.52
92,2022-05-01,34.88,6.87,8.48,19.52
95,2022-08-01,34.88,6.87,8.48,19.52
108,2023-09-01,35.19,6.93,9.37,18.9
