,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,71.0,79.0,69.0,69.0
1,2014-10-01,70.0,79.0,69.0,69.0
2,2014-11-01,71.0,79.0,69.0,69.0
3,2014-12-01,70.0,76.0,69.0,69.0
4,2015-01-01,71.0,74.0,66.0,73.0
5,2015-02-01,71.0,74.0,66.0,73.0
6,2015-03-01,70.0,74.0,67.0,70.0
7,2015-04-01,70.0,74.0,67.0,70.0
8,2015-05-01,70.0,74.0,67.0,70.0
9,2015-06-01,70.0,74.0,67.0,70.0
10,2015-07-01,70.0,74.0,67.0,70.0
11,2015-08-01,65.0,73.0,57.0,70.0
12,2015-09-01,65.0,73.0,57.0,70.0
13,2015-10-01,65.0,72.0,57.0,70.0
14,2015-11-01,68.0,77.0,59.0,71.0
15,2015-12-01,67.0,77.0,60.0,69.0
16,2016-01-01,67.09,77.05,59.53,68.64
17,2016-02-01,67.09,77.05,59.53,68.64
18,2016-03-01,67.09,77.05,59.53,68.64
19,2016-04-01,66.38,77.05,59.53,66.59
20,2016-05-01,65.81,77.05,59.53,64.97
21,2016-06-01,65.81,77.05,59.53,64.97
22,2016-07-01,65.67,77.05,59.18,64.97
23,2016-08-01,65.67,77.05,59.18,64.97
24,2016-09-01,65.67,77.05,59.18,64.97
25,2016-10-01,65.67,77.05,59.18,64.97
26,2016-11-01,65.67,77.05,59.18,64.97
27,2016-12-01,65.67,77.05,59.18,64.97
28,2017-01-01,70.17,74.25,72.78,64.28
29,2017-02-01,70.17,74.25,72.78,64.28
30,2017-03-01,70.17,74.25,72.78,64.28
31,2017-04-01,70.17,74.25,72.78,64.28
32,2017-05-01,70.17,74.25,72.78,64.28
33,2017-06-01,69.27,74.25,72.78,61.71
34,2017-07-01,70.17,74.25,72.78,64.28
35,2017-08-01,69.24,74.25,72.71,61.71
36,2017-09-01,69.27,74.25,72.78,61.71
37,2017-10-01,65.86,66.65,65.95,65.19
38,2017-11-01,65.81,66.48,65.95,65.19
39,2017-12-01,65.81,66.48,65.95,65.19
40,2018-01-01,66.33,64.48,66.87,67.04
41,2018-02-01,66.33,64.48,66.87,67.04
42,2018-03-01,66.33,64.48,66.87,67.04
43,2018-04-01,66.33,64.48,66.87,67.04
44,2018-05-01,66.33,64.48,66.87,67.04
45,2018-06-01,66.33,64.48,66.87,67.04
46,2018-07-01,66.33,64.48,66.87,67.04
47,2018-08-01,66.33,64.48,66.87,67.04
48,2018-09-01,66.33,64.48,66.87,67.04
49,2018-10-01,63.72,58.88,67.17,63.23
50,2018-11-01,63.49,58.08,67.09,63.23
51,2018-12-01,63.44,57.88,67.09,63.23
52,2019-01-01,63.44,57.88,67.09,63.23
53,2019-02-01,62.15,57.88,65.48,61.39
54,2019-03-01,62.15,57.88,65.48,61.39
55,2019-04-01,62.15,57.88,65.48,61.39
56,2019-05-01,62.15,57.88,65.48,61.39
57,2019-06-01,62.15,57.88,65.48,61.39
58,2019-07-01,62.15,57.88,65.48,61.39
59,2019-08-01,62.37,58.78,65.48,61.39
60,2019-09-01,62.37,58.78,65.48,61.39
61,2019-10-01,62.37,58.78,65.48,61.39
62,2019-11-01,62.37,58.78,65.48,61.39
63,2019-12-01,42.27,12.42,12.18,17.67
64,2020-01-01,46.76,12.55,15.08,19.13
65,2020-02-01,46.3,12.09,15.05,19.16
66,2020-03-01,46.3,12.09,15.05,19.16
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,45.84,11.4,15.19,19.25
71,2020-08-01,45.84,11.4,15.19,19.25
72,2020-09-01,,,,
73,2020-10-01,45.86,11.42,15.19,19.25
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,42.65,11.49,15.44,15.72
77,2021-02-01,42.65,11.49,15.44,15.72
78,2021-03-01,42.65,11.49,15.44,15.72
79,2021-04-01,,,,
80,2021-05-01,42.85,11.49,15.65,15.72
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,43.35,11.98,15.65,15.72
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,40.71,11.58,14.09,15.04
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,40.71,11.58,14.09,15.04
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,40.71,11.58,14.09,15.04
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,40.55,10.9,14.24,15.41
