,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,53.0,52.0,46.0,57.0
1,2014-10-01,52.0,52.0,47.0,57.0
2,2014-11-01,53.0,52.0,46.0,57.0
3,2014-12-01,53.0,52.0,46.0,57.0
4,2015-01-01,63.0,61.0,51.0,71.0
5,2015-02-01,63.0,61.0,51.0,71.0
6,2015-03-01,60.0,61.0,51.0,64.0
7,2015-04-01,60.0,61.0,51.0,64.0
8,2015-05-01,59.0,61.0,51.0,61.0
9,2015-06-01,59.0,61.0,51.0,61.0
10,2015-07-01,59.0,61.0,51.0,61.0
11,2015-08-01,59.0,61.0,51.0,61.0
12,2015-09-01,59.0,61.0,51.0,61.0
13,2015-10-01,57.0,61.0,51.0,58.0
14,2015-11-01,57.0,61.0,51.0,58.0
15,2015-12-01,57.0,61.0,51.0,59.0
16,2016-01-01,57.3,60.61,51.11,58.53
17,2016-02-01,56.95,58.78,52.41,58.25
18,2016-03-01,55.75,58.78,52.41,55.58
19,2016-04-01,53.39,55.93,52.42,52.23
20,2016-05-01,53.39,55.93,52.42,52.23
21,2016-06-01,53.39,55.93,52.42,52.23
22,2016-07-01,54.24,58.78,52.42,52.23
23,2016-08-01,53.39,55.93,52.42,52.23
24,2016-09-01,53.39,55.93,52.42,52.23
25,2016-10-01,53.39,55.93,52.42,52.23
26,2016-11-01,53.39,55.93,52.42,52.23
27,2016-12-01,53.39,55.93,52.42,52.23
28,2017-01-01,53.3,51.43,52.42,55.03
29,2017-02-01,53.3,51.43,52.42,55.03
30,2017-03-01,54.5,51.43,52.42,57.7
31,2017-04-01,54.5,51.43,52.42,57.7
32,2017-05-01,55.06,53.3,52.42,57.7
33,2017-06-01,55.06,53.3,52.42,57.7
34,2017-07-01,54.5,51.43,52.42,57.7
35,2017-08-01,55.06,53.3,52.42,57.7
36,2017-09-01,55.86,53.72,56.99,56.67
37,2017-10-01,55.9,51.85,59.38,56.67
38,2017-11-01,55.9,51.85,59.38,56.67
39,2017-12-01,55.9,51.85,59.38,56.66
40,2018-01-01,55.86,51.72,59.38,56.66
41,2018-02-01,55.86,51.72,59.38,56.66
42,2018-03-01,55.86,51.72,59.38,56.66
43,2018-04-01,55.86,51.72,59.38,56.66
44,2018-05-01,55.86,51.72,59.38,56.66
45,2018-06-01,56.68,51.89,61.01,57.46
46,2018-07-01,60.09,54.56,66.76,60.08
47,2018-08-01,60.17,54.82,66.76,60.08
48,2018-09-01,61.06,54.82,69.58,60.48
49,2018-10-01,61.06,54.82,69.58,60.48
50,2018-11-01,60.98,54.56,69.58,60.48
51,2018-12-01,60.98,54.56,69.58,60.48
52,2019-01-01,60.98,54.56,69.58,60.48
53,2019-02-01,60.98,54.56,69.58,60.48
54,2019-03-01,60.55,54.56,67.85,60.48
55,2019-04-01,60.55,54.56,67.85,60.48
56,2019-05-01,61.85,54.56,73.07,60.48
57,2019-06-01,61.85,54.56,73.07,60.48
58,2019-07-01,61.85,54.56,73.07,60.48
59,2019-08-01,61.85,54.56,73.07,60.48
60,2019-09-01,61.85,54.56,73.07,60.48
61,2019-10-01,64.4,59.06,73.07,63.15
62,2019-11-01,65.74,63.04,78.71,60.33
63,2019-12-01,22.45,8.15,0.03,14.27
64,2020-01-01,22.45,8.15,0.03,14.27
65,2020-02-01,22.45,8.15,0.03,14.27
66,2020-03-01,22.45,8.15,0.03,14.27
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,22.45,8.15,0.03,14.27
71,2020-08-01,22.65,8.15,0.03,14.47
72,2020-09-01,,,,
73,2020-10-01,22.65,8.15,0.03,14.47
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,22.86,8.17,0.03,14.66
77,2021-02-01,22.86,8.17,0.03,14.66
78,2021-03-01,22.86,8.17,0.03,14.66
79,2021-04-01,,,,
80,2021-05-01,22.86,8.17,0.03,14.66
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,22.24,8.17,0.03,14.04
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,22.08,8.01,0.03,14.04
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,22.08,8.01,0.03,14.04
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,22.08,8.01,0.03,14.04
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,22.97,7.62,1.0,14.34
