,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,29.62,12.83,0.9,15.89
65,2020-02-01,29.62,12.83,0.9,15.89
66,2020-03-01,29.62,12.83,0.9,15.89
70,2020-07-01,29.62,12.83,0.9,15.89
71,2020-08-01,29.62,12.83,0.9,15.89
73,2020-10-01,22.85,12.49,0.48,9.87
76,2021-01-01,22.85,12.49,0.48,9.87
77,2021-02-01,22.85,12.49,0.48,9.87
78,2021-03-01,22.29,11.94,0.48,9.87
80,2021-05-01,22.29,11.9,0.48,9.91
84,2021-09-01,22.89,11.62,0.48,10.79
89,2022-02-01,22.89,11.59,0.48,10.81
92,2022-05-01,24.32,11.54,1.66,11.12
95,2022-08-01,24.14,11.39,1.66,11.1
108,2023-09-01,24.22,11.51,1.56,11.16
