,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,22.23,8.0,0.18,14.04
65,2020-02-01,22.2,7.97,0.18,14.04
66,2020-03-01,22.2,7.97,0.18,14.04
70,2020-07-01,22.2,7.97,0.18,14.04
71,2020-08-01,22.2,7.97,0.18,14.04
73,2020-10-01,18.45,7.34,0.16,10.95
76,2021-01-01,18.45,7.34,0.16,10.95
77,2021-02-01,18.45,7.34,0.16,10.95
78,2021-03-01,18.51,7.4,0.16,10.95
80,2021-05-01,18.51,7.4,0.16,10.95
84,2021-09-01,19.29,7.05,1.25,10.98
89,2022-02-01,19.18,6.95,1.31,10.92
92,2022-05-01,19.18,6.95,1.31,10.92
95,2022-08-01,19.18,6.95,1.31,10.92
100,2023-01-01,19.03,6.8,1.25,10.98
108,2023-09-01,20.87,6.54,3.65,10.68
